index,title,url,press,date,keyword,content,Scraped_date
11,'삼성SDS타워 8500억'…서울 상업용 부동산 거래 15개월 만에 최대,http://www.newsis.com/view/?id=NISX20231201_0002542489&cID=10401&pID=10400,뉴시스언론사 선정,1주 전,삼성 SDS 투자,"올해 상업용 부동산 ‘최대어’로 꼽힌 서울 송파구 신천동 소재 '삼성SDS타워'가 8500억원에 거래된 효과다. 1일 상업용 부동산 종합 서비스 기업... 류강민 알스퀘어 리서치센터장은 ""높은 금리 탓에 투자하기 쉽지 않은 환경이지만, 안정적인 임대시장 덕분에 거래 규모가 감소한 가운데에서도...",2023-12-14
12,"SK증권 ""삼성SDS 내년 실적 우상향""...목표가 상향",http://www.fnnews.com/news/202312070854500323,파이낸셜뉴스,7일 전,삼성 SDS 투자,"최 연구원은 ""삼성에스디에스는 지난 11월 28일 동탄 데이터 센터를 활용한 4608억원 규모의 HPC 클라우드 서비스 계약을 체결했는데 고객사의 IT 투자가 점진적으로 증가할 것으로 예상되는 점이 긍정적""이라며 ""또 2024년 1·4분기 생성형 AI 서비스 출시가 예상됨에 따라 내년 IT 서비스 부문 매출은...",2023-12-14
13,[Who Is ?] 최윤호 삼성SDI 대표이사 사장,https://www.businesspost.co.kr/BP?command=article_view&num=335267,비즈니스포스트,1주 전,삼성 SDS 투자,◆ 생애 최윤호는 삼성SDI 대표이사 사장이다. 삼성전자 미래전략실 출신의 재무 전문가로 삼성SDI 배터리사업의 대규모 투자를 추진하면서 '수익성... 같은 날 삼성SDS도 이사회를 통해 선임사회이사제도를 도입하기로 결정했다. 선임사외이사제도는 대표이사 또는 사내이사가 이사회 의장을 맡을...,2023-12-14
14,"다올證 ""삼성SDS, 성장 가시성 높아져…적정주가 19% 상향""",https://www.news1.kr/articles/5246845,뉴스1,2주 전,삼성 SDS 투자,"다올투자증권이 삼성SDS(018260)의 성장 가시성이 높아졌다며 적정주가를 21만원에서 25만원으로 19.04% 상향했다. 투자의견도 '매수'로 유지했다. 김하정 다올투자증권 연구원은 삼성SDS에 대해 ""그룹사 시스템통합(SI) 기업의 성장 가능성과 역할에 대한 의심, 낮은 클라우드 실적 가시성은 의...",2023-12-14
15,“기술주 투자 이 상품 하나로 끝…국내 대형 테크주에 분산투자” [자이앤트TV],https://www.mk.co.kr/article/10895456,매일경제,3일 전,삼성 SDS 투자,"삼성SDS, 크래프톤, 삼성전기, 엔씨소프트, LG이노텍 등 국내 대표 테크 기업 10곳을 담고 있습니다. SK하이닉스의 비중이 23.48%(11월 24일 기준)로 가장 높습니다. 정 부장은 “KOSEF K-테크 TOP10 ETF는 향후 10년 이상 폭발적으로 성장할 메가트렌드에 하는 상품”이라며 “국내 코스피와 코스닥 시장을...",2023-12-14
16,"[뉴투분석] 삼성SDS 황성우 호(號), '3마리 토끼'로 4차 산업혁명 파고 넘는다",https://www.news2day.co.kr/article/20231208500215,뉴스투데이,2일 전,삼성 SDS 투자,"삼성SDS 관계자는 뉴스투데이에 “앞으로 클라우드 사업과 디지털 물류 사업에 투자를 늘릴 것”이라며 “엠로 인수는 통합적 공급망관리(SCM) 역량과 클라우드 서비스 소프트웨어(SaaS) 사업을 강화하기 위한 행보”라고 설명했다. 그는 ""신종 코로나바이러스 감염증(코로나19) 팬데믹(대유행)과...",2023-12-14
17,"""7년 중 최소"" 바늘구멍 뚫은 삼성 임원, 3040 '젊은 피'로 채웠다",http://news.mt.co.kr/mtview.php?no=2023112915065676468,머니투데이,2주 전,삼성 SDS 투자,"조합 최적화 기술을 연구해 세계 최고 권위의 AI(인공지능) 학회인 NeurIPS(신경정보처리시스템학회)에 3년 연속으로 논문을 등재하는 등 향후 생성형 AI 연구를 통해 삼성SDS의 미래 혁신을 이끌 인재로 꼽혔다. 여성 승진자로는 사공경 상무를 배출했다. 벤처는 부사장 1명, 상무 2명이 승진했다.",2023-12-14
18,"삼성, 임원 승진 5년래 최저…39세 상무, 46세 부사장 ‘세대교체’ 가속",https://www.joongang.co.kr/article/25210987,중앙일보언론사 선정,2주 전,삼성 SDS 투자,김헌준 사욱환 오정원 조한제 ▶상무 권형진 김광수 김대식 김수한 김은하 김춘숙 문철환 이권열 이순률 이순재 임재광 정일형 조우진 최성욱 현장석 ◆삼성SDS ▶부사장 김대우 오영석 ▶상무 권영대 김성곤 김승기 배한욱 사공경 윤민식 창성중 ◆벤처 ▶부사장 장원상 ▶상무 권장혁 이철한,2023-12-14
19,"테슬라 주가 낮춘 사이버트럭 · 삼성 '미래' 수혜주, 'ABC'는 아닐 듯 [신인규의 이슈레이더]",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202312010024&t=NNv,한국경제TV언론사 선정,1주 전,삼성 SDS 투자,"하지만 투자자들은 테슬라 사이버트럭의 성능보다 가격과 생산 불안 가능성에 더 주목한 듯합니다. 테슬라 주가는 장 마감 한 시간 전 진행된... 코스피 대형주 가운데 삼성SDS가 어제 종가 기준으로 8.5% 상승했고요, 이건 내 시스템 통합 부문을 담당하는 가 의 미래 신사업에서 맡을 기대감이...",2023-12-14
20,삼성SDS·무신사성수 효과…서울 빌딩 거래액 15개월 만에 최대,https://www.joongang.co.kr/article/25211622,중앙일보,1주 전,삼성 SDS 투자,향후 10년간 삼성SDS가 전체 오피스를 임차해 10년간 공실 우려가 없다. 서울 성동구 성수2가에 있는 무신사 성수도 마스턴투자운용이 1115억원에 사들였다. 10월 거래 중 두 번째로 거래 규모가 컸다. 이로 인해 서울의 경우 10월 빌딩 거래금액이 1조6879억원으로 전달보다 77.5% 증가해 15개월 만에...,2023-12-14
