단어,빈도수
톺아,52
각,52
전기,52
토마토,52
찾는다,52
상반기,52
탐방,52
익,52
관심,52
동서,51
허브,51
정리,51
눈독,51
내는,51
연간,51
향,51
구광모,51
인터,50
선두,50
물,50
팀,50
소식,50
대우조선,50
산업부,50
찾는,50
점검,50
자회사,50
신동빈,50
부산시,50
개사,49
임,49
억원,49
전시회,49
페달,49
실현,49
인천,49
계속,49
성공,49
일자리,49
보다,49
재편,49
나,48
용의,48
앞세워,48
자금,48
워드,48
株,48
가시,48
지역,48
산시,48
포부,48
함께,48
회사,48
vs,48
기후,48
루트,48
체질,48
이용,48
독일,48
조직,47
RD,47
日,47
돈,47
침체,47
세아,47
오세철,47
단지,47
디지털,47
접목,47
청,47
금융투자,47
지주사,46
량,46
격차,46
요,46
공격,46
드는,46
MEET,46
중국,46
꿈꾸는,46
센터,46
청사진,46
공시,46
신호,46
허용,46
주력,46
없는,46
즈,46
육,46
승진,45
올인,45
SKLG,45
하고,45
머니,45
큰,45
유통,45
협업,45
현성,45
출사표,45
위원회,45
체질개선,44
LPG,44
잇단,44
가능,44
플라스틱,44
車,44
잇따라,44
우주,44
한수원,44
거,44
활발,43
주주,43
Invest,43
밝힌,43
절실,43
엑스포,43
신문,43
채희봉,43
∙,43
시너지,43
보니,43
경북,43
논의,43
의지,43
친환,43
총력,43
교체,43
투,42
조달,42
진단,42
자원,42
개정안,42
어벤져스,42
블룸,42
타고,42
이규호,42
상용,42
항공,42
강조,42
인력,42
판매,42
견인,41
에스코,41
베트남,41
료,41
강달호,41
열사,41
넥,41
카드,41
별,41
십,41
中,40
적극,40
규제,40
주간,40
포항,40
덩실,40
완성,40
허윤,40
찾아,40
올,40
유상증자,40
CJ,40
만든다,40
스마트,40
황,40
단신,40
구조,40
석화,40
드론,40
훈풍,40
시노펙,40
기계,40
社,39
건립,39
한선,39
라운드,39
그,39
업무,39
엔솔,39
T,39
돌파구,39
최재원,39
오만,39
석탄,39
금일,39
HDC,39
김동연,39
개척,38
러브콜,38
하락,38
창원,38
부진,38
대세,38
코스피,38
국내외,38
실천,38
안정,38
상한,38
가지,38
단위,38
대비,38
사업자,38
신설,38
영토,38
家,38
화두,38
우려,38
운영,38
비중,38
상승세,37
탱크,37
작업,37
앞둔,37
브랜드,37
민관,37
게임,37
교류,37
안착,37
돌입,37
디스플레이,37
날개,37
면,37
AT,37
극복,37
듯,36
인터내셔널,36
대전,36
판,36
간다,36
호,36
집,36
세대,36
희,35
공정위,35
모비스,35
입지,35
투입,35
마감,35
뜬다,35
연내,35
선방,35
박정원,35
계약,35
준공,35
가는,35
인재,35
앞당긴다,35
대상,35
박경,35
포스트,35
최성,35
진행,35
④,35
르포,34
公,34
잡았다,34
E,34
전쟁,34
저장,34
탈바꿈,34
순,34
어,34
키로,34
고체,34
현산,34
필요,34
보따리,34
왔나,34
관리,34
트리,34
뒷받침,34
릴레이,34
AI,34
맞은,34
카,34
기초,34
방미,34
이우현,34
반등,34
승계,33
안산,33
쿠팡,33
회복,33
G,33
번가,33
탈출,33
부상,33
바이든,33
HWORLD,33
강국,33
전면,33
뒤,33
유럽,33
이야기,33
진입,33
뭉쳤다,33
임원,33
성큼,33
소주,33
상생,33
포커스,33
아,32
후,32
청약,32
금,32
현지,32
UAM,32
선보,32
안재현,32
부사,32
방위,32
감소,32
땅,32
클린,32
국빈,32
추가,32
시범,32
꽂힌,32
허세,32
에스,32
산화물,32
움직이는,32
거래,32
제조,32
IB,32
강,32
유가,32
리움,32
용,31
양성,31
축,31
김정훈,31
사활,31
합병,31
톱,31
패러다임,31
된다,31
韓美,31
방점,31
친,30
또,30
자율,30
신학,30
추천,30
에쓰오일,30
임팩트,30
린다,30
대우,30
식,30
관,30
선봉,30
시계,30
호실,30
제품,30
모,30
장주,30
선제,30
상공회의소,30
스틸,30
앞,30
채용,30
드림팀,30
특별,30
굴뚝,29
우하이,29
연구원,29
코,29
모델,29
꿈꾼다,29
지난주,29
직접,29
될,29
우뚝,29
SOFC,29
현금,29
론,29
뛰는,29
협회,29
재벌,29
막,29
그간,29
거점,29
오른다,29
단,29
제로,29
토끼,29
D,29
테크,29
화로,28
프랑스,28
UAE,28
부장,28
대신,28
효과,28
제재,28
경차,28
비상,28
진구,28
큐셀,28
대안,28
배정,28
상향,28
최종,28
넘는다,28
애플,28
이번,28
린데,28
수요,28
역할,28
될까,28
착착,28
뜯어,28
사명,28
시설,28
책임,27
무역,27
찍고,27
수태,27
보여,27
항,27
참전,27
실패,27
발견,27
클릭,27
우,27
예상,27
인도,27
최,27
기관,27
발행,27
지배구조,27
필수,27
정진근,27
구역,27
현실,27
넘고,27
검토,27
포집,27
현황,27
달,27
출동,27
성공할까,27
같이,27
신화,27
대거,27
조억,27
SKES,26
高,26
⑥,26
선택,26
매수,26
공통점,26
범한,26
포기,26
안보,26
간문제,26
나서는,26
스퀘어,26
방향,26
테슬라,26
피플,26
순환,26
넷제,26
KT,26
포스코건설,26
돌,26
정승일,26
창립,26
찾은,26
공업,26
통,26
DX,26
모터,25
마켓,25
키우는,25
사람,25
TV,25
주자,25
참가,25
러시,25
전성,25
지자체,25
잭팟,25
ETF,25
한파,25
비,25
들썩,25
석,25
폭락,25
택시,25
부는,25
발족,25
탄소섬유,25
넓힌다,25
이끄는,25
다진다,25
숙제,25
공포,25
자산,25
존재,25
오미크론,25
한성,25
용량,24
공개,24
축전,24
새해,24
해부,24
토탈,24
지주,24
주지,24
포인트,24
통운,24
KAI,24
처,24
앞세우며,24
직위,24
_,24
공공기관,24
지속가능성,24
곳,24
모주,24
일본,24
정보,24
원료,24
하이닉스,24
연말,24
총력전,24
아르헨티나,24
리,24
최강,24
호조,24
어벤저스,24
과감,24
높인다,24
본,24
전남,24
연속,24
본업,24
고용,24
아주,23
뛰어든,23
디,23
실탄,23
첫날,23
꿈,23
증거,23
기아차,23
기여,23
리스크,23
이구영,23
보는,23
조선소,23
체크,23
바꾸고,23
순방,23
한진,23
전문가,23
엔진,23
SDI,23
전국,23
오봉,23
여수시,23
・,23
효율,23
줄,23
코드,23
터,23
인니,22
보급,22
트론,22
실행,22
VC,22
천연가스,22
핫,22
매물,22
쏟아,22
스위스,22
밸류업,22
내정자,22
EV,22
있는,22
포스코플랜텍,22
–,22
PRG,22
행사,22
채널,22
다졌다,22
보폭,22
⑦,22
탄탄,22
