index,title,url,press,date,keyword,content,filtered,Blacklist,Scraped_date
1,"'지구방위대' 자처한 현대·GS·대우·DL이앤씨, 온실가스 감축에 ‘앞장’",http://www.fntimes.com/html/view.php?ud=202312081501109317b372994c95_18,한국금융신문,2주 전,GS건설 CCUS 신사업 해외,GS건설은 2020년 초 국내 건설사 중 처음으로 해외 선진 모듈러 업체를 인수해 친환경적인 프리패브 사업에 진출했다. GS건설이 인수한 회사는 폴란드... 탄소포집(CCUS2) 신사업 추진 등 녹색건축 선도 기업으로써 필요한 기반 사업을 적극 추진하고 있다. 특히 지난해 스마트 건축 전환으로 9963 tCO2-eq를...,fail,Not in Blacklist,2023-12-27
2,"건설사, CCUS 공략 '속도'…""탄소배출 잡고 신사업 진출""",http://www.srtimes.kr/news/articleView.html?idxno=143468,SR타임스,2023.10.23.,GS건설 CCUS 신사업 해외,"23일 업계에 따르면 현대건설, GS건설, DL이앤씨, SK에코플랜트, 삼성엔지니어링 등 국내 대형 건설사들이 CCUS 사업에 발을 들였다. 이들 건설사들은... 업계 한 관계자는 ""CCUS는 건축, 토목, 플랜트, 주택 등 건설사의 고유의 업과는 다른 기술을 요구하는 인 만큼 개발 초기 단계인 국내 사들은...",success,Not in Blacklist,2023-12-27
3,"수소로 눈 돌린 건설사들…""해외 플랜트 일감 수주에 유리""",https://www.econovill.com/news/articleView.html?idxno=625876,이코노믹리뷰,2023.09.13.,GS건설 CCUS 신사업 해외,삼성물산(건설 부문)과 삼성엔지니어링∙현대건설∙현대엔지니어링∙SK에코플랜트∙대우건설∙롯데건설∙GS건설∙코오롱글로벌∙HL D&I∙두산건설... 건설사들이 여러 방법으로 수소사업을 강화하는 것은 본업에서 벗어나 신사업에 뛰어드는 것이라기보다는 사들의 주요 사업 중 하나인 플랜트 사업을...,success,Not in Blacklist,2023-12-27
4,[Who Is ?] 허세홍 GS칼텍스 대표이사 사장,https://www.businesspost.co.kr/BP?command=article_view&num=324670,비즈니스포스트,2023.08.18.,GS건설 CCUS 신사업 해외,"GS그룹 오너4세 경영인이자 GS그룹의 다음 회장 후보 가운데 한 명이다. 정유사업을 넘어 석유화학, 수소, 주유소 신사업으로 사업을 다각화하는 데... GS칼텍스는 2022년 11월 동서발전, 현대글로베스, 한화솔루션, 삼성물산, 남해화학, 린데코리아, 에너지, 과 ' 사업을 위한 기업 컨소시엄 협약...",fail,Blacklist,2023-12-27
5,[Who Is ?] 허윤홍 GS건설 미래혁신대표 사장,https://www.businesspost.co.kr/BP?command=article_view&num=320185,비즈니스포스트,2023.07.05.,GS건설 CCUS 신사업 해외,"2차전지, 소형원전분야를 비롯해 탄소포집 및 활용과 저장(CCUS), 수소 등 친환경 미래기술 연구에 집중하고 있다. 허윤홍은 앞서 2018년 GS건설... GS건설은 2019년 뒤 신사업부문에 투자를 집중하고 있다. GS건설은 사업에서 대규모 부실화를 겪은 2010년대 초반 이후 국내 주택사업을 중심으로 실적을...",success,Blacklist,2023-12-27
6,불안정한 해외건설시장…“SMRㆍCCUS로 돌파”,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202303201526414140062,대한경제,2023.03.27.,GS건설 CCUS 신사업 해외,"이에 해외건설 시장에 진출하는 건설사들은 소형모듈원전(SMR)과 탄소 포집·저장·활용(CCUS) 등 신사업을 적극적으로 추진하고, 단순 EPC(설계·조달... 기존의 EPC 체제로는 더이상 수익성이 개선되지 않는 점을 감안, 각 건설사별로 사정에 맞게 새로운 역할을 덧입히는 모습이다. 과 대우은...",success,Not in Blacklist,2023-12-27
7,"[포스트 아파트, 신사업 찾아라] ⑤GS건설, 수처리·모듈러 등 탄력붙는 신사업",http://www.goodkyung.com/news/articleView.html?idxno=205510,굿모닝경제,2023.04.19.,GS건설 CCUS 신사업 해외,"소형모듈원전(SMR), 도심항공교통(UAM), 탄소포집저장(CCUS), 친환경 에너지 등 건설사들이 공을 들이는 신사업 분야는 다양하다. 굿모닝경제는 건설사가 추진하는 신사업 현황과 글로벌 경쟁력을 살펴봤다. <편집자주> 이니마의 베트남 수처리 시설 전경. [사진=] 이 수처리부터 스마트양식...",success,Not in Blacklist,2023-12-27
8,주요 건설사 1분기 실적 선방… 해외 수주·신사업이 살렸다,https://www.seoul.co.kr/news/newsView.php?id=20230501016003&wlog_tag3=naver,서울신문,2023.05.01.,GS건설 CCUS 신사업 해외,등 해외 대형 현장 공정이 본격화됨에 따라 매출과 영업이익 모두 증가세를 기록했다. GS건설은 신사업 부문이 주택 부문 원가율 상승에 따른 매출... DL이앤씨는 지난달 울산 샤힌 프로젝트에서 1조 4000억원 규모의 사업을 수주했으며 친환경 사업인 ‘탄소포집·활용·저장’() 및 수소 에너지 분야의...,success,Blacklist,2023-12-27
9,해외·신사업 주력…대형 건설사 '실적 선방',https://www.hankyung.com/realestate/article/2023042814621,한국경제언론사 선정,2023.04.28.,GS건설 CCUS 신사업 해외,DL이앤씨는 친환경 사업인 ‘탄소 포집·활용(CCUS)’ 및 수소 에너지 분야의 사업 개발 등도 추진하고 있다. ○주택 대신 해외 등 신사업 두각 GS건설은 신사업 부문이 주택 부문의 원가 인상분을 상쇄했다. GS건설의 1분기 매출은 3조5130억원으로 전년 동기 대비 47.9% 증가했다. 영업이익은 1590억원으로 3.9...,success,Blacklist,2023-12-27
0,"[산업 이슈 픽] 상반기 부진 털어낸 정유사, 신사업 '직진'",http://www.seoulwire.com/news/articleView.html?idxno=520684,서울와이어,2023.11.04.,GS칼텍스 CCUS 신사업 해외,"GS칼텍스 관계자는 ""플라스틱 순환경제 구축을 위해 폐플라스틱 물리적 재활용(MR), 화학적 재활용(CR) 방식의 리사이클링사업을 확대하고 있다""며 ""또한 화이트바이오사업 밸류체인 구축과 수소, 탄소포집 및 활용(CCUS) 등 저탄소 을 지속해 나가겠다""고 말했다.",success,Not in Blacklist,2023-12-27
1,[Who Is ?] 허세홍 GS칼텍스 대표이사 사장,https://www.businesspost.co.kr/BP?command=article_view&num=324670,비즈니스포스트,2023.08.18.,GS칼텍스 CCUS 신사업 해외,허세홍이 이사회 의장까지 겸임한 것을 계기로 GS칼텍스의 신사업 추진에 속도가 붙을 것으로 관측된다. 앞서 허세홍은 2018년 11월27일 실시된 2019년도... 이후 오랜 해외생활을 접고 2011년 국내로 돌아와 GS칼텍스 여수공장 생산기획공장장으로 1년 동안 근무했다. 여성 엔지니어 간담회를 주도하고...,fail,Blacklist,2023-12-27
2,"허태수 GS 회장 “그동안 캐낸 벤처, 이제 신사업으로 간다”",https://www.chosun.com/economy/industry-company/2023/08/31/VSB7KFUEQZGBHPR2NTUIISEIZA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,조선일보,2023.08.31.,GS칼텍스 CCUS 신사업 해외,"허 회장은 해외 출장 중 발견한 탄소포집(CCUS) 기술 스타트업 기술을 직접 설명하면서 “벤처가 보유한 기술을 상세히 이해해야 신사업으로 연결 가능하고, 대충 알아서는 안 된다”고 했다. 허태수 회장은 2020년 취임 직후, 미 실리콘밸리에 벤처캐피털회사 ‘퓨처스’를 설립할 정도로 스타트업 발굴을...",success,Not in Blacklist,2023-12-27
3,[Who Is ?] 허윤홍 GS건설 미래혁신대표 사장,https://www.businesspost.co.kr/BP?command=article_view&num=320185,비즈니스포스트,2023.07.05.,GS칼텍스 CCUS 신사업 해외,LG칼텍스정유(현 GS칼텍스)에 사원으로 입사한 뒤 GS건설로 자리를 옮겨 19년째를 맞이하고 있다. 중동 등 건설현장에서 근무한 경험이 많다.... GS건설은 2019년 뒤 신사업부문에 투자를 집중하고 있다. GS건설은 해외사업에서 대규모 부실화를 겪은 2010년대 초반 이후 국내 주택사업을 중심으로 실적을...,success,Blacklist,2023-12-27
