index,title,url,press,date,keyword,content,Scraped_date
19,"[스몰캡 터치]새빗켐, 폐배터리 재활용으로 성장에 날개 단다",https://www.inthenews.co.kr/news/article.html?no=48519,인더뉴스,2022.09.19.,새빗켐 배터리 재활용,새빗켐은 지난 2017년부터 폐배터리 재활용 사업을 영위하며 국내 양극재 업체 등 다수의 매입처로부터 원재료를 조달해왔다. 향후 시장경쟁이 격화되는 시점에도 LG화학으로부터 안정적인 원재료 조달이 가능하다. 한유건 KB증권 연구원은 “업계 최구 수준의 95% 유가금속 회수율과 원가 경쟁력을...,2023-11-27
20,[폐배터리 관련주] 아이에스동서·영화테크·새빗켐 주가 '입꼬리 승천',https://www.pinpointnews.co.kr/news/articleView.html?idxno=176526,핀포인트뉴스,2023.02.17.,새빗켐 배터리 재활용,지난 15일 연결 기준 지난해 영업이익이 지난해 대비 11% 오른 3450억원으로 집계됐다고 밝혔다. 매출액은 41.6% 증가한 2조2768억원으로 기록됐다. 에프앤가이드에 따르면 영화테크는 전기차 고전압 폐배터리를 산업용 ESS로 재사용하는 사업을 추진 중인 것으로 알려졌다. 은 폐 업체다.,2023-11-27
21,"美 인플레 감축법 수혜 기대에…‘폐배터리 재활용’ 새빗켐, 연일 급등세",https://www.mk.co.kr/economy/view/2022/767809,매경이코노미언론사 선정,2022.08.30.,새빗켐 배터리 재활용,이에 SNE리서치는 2020년 14GWh(기가와트)였던 배터리 재활용 시장 규모가 2030년 415GWh까지 연평균 40% 급성장할 것이라고 내다봤다. 새빗켐은 재활용 전문 기업으로 2016년부터 2차전지 재활용 사업을 본격적으로 시작했다. 2021년 폐 사업 부문 매출액은 전체 매출의 70%가량 차지한 것으로...,2023-11-27
22,"[이달해의 달달한10분] 조정 받은 폐배터리, 지금이 매수 찬스? '새빗켐'",https://news.mtn.co.kr/news-detail/2023031313482186130,MTN,2023.03.13.,새빗켐 배터리 재활용,"▶달달한 공략 섹터: 폐배터리 관련주 - EU, CRMA법안 초안 발표 임박 - SNE 리서치, 폐배터리 시장 40년까지 약 200조원 추산 - 시장 영향 속 조정...매수 기회 판단 ▶달달한 공략주 : 새빗켐 - 폐배터리 재활용 업체 - 태양광 폐패널 사업 가속화 - 2차전지 리사이클링 제3공장 건립...",2023-11-27
23,"새빗켐, 폐배터리 재활용 시장 급성장에 주가 ‘방긋’",https://www.mk.co.kr/economy/view/2022/728295,매경이코노미언론사 선정,2022.08.17.,새빗켐 배터리 재활용,폐배터리 재활용 시장 급성장 기대감에 새빗켐 주가가 강세를 보이고 있다. 17일 새빗켐은 전일 대비 7.21% 상승한 9만3700원에 거래를 마감했다. 새빗켐은 장중 17.8%까지 급등하며 강세를 보였다. 미국 인플레이션 감축법(IRA) 수혜 기대감이 주가에 긍정적 영향을 미친 것으로 풀이된다. 간밤에 조 바이든...,2023-11-27
24,"새빗켐, 폐배터리 재활용 생태계 구축 기대감에 '上'",https://www.hankyung.com/finance/article/2022081032886,한국경제,2022.08.10.,새빗켐 배터리 재활용,"미국이 배터리 소재의 탈중국 방침을 분명히 하면서 폐배터리 재활용 생태계가 예상보다 빠르게 구축될 것이라는 기대감에 새빗켐 주가가 급등하고 있다. 10일 오후 2시50분 기준 새빗켐은 전 거래일보다 2만700원(30.00%) 오른 8만9700원에 거래 중이다. 지난 4일 상장한 은 2차전지 전구체복합액, ...",2023-11-27
25,"'폐배터리 재활용' 새빗켐, 코스닥 상장…""기술 우위 자신""",http://www.newspim.com/news/view/20220720000714,뉴스핌,2022.07.20.,새빗켐 배터리 재활용,새빗켐은 반도체 및 디스플레이 공정에서 발생하는 폐산재활용 사업과 2차전지 폐배터리를 재활용하는 사업을 영위하고 있다. 특히 새빗켐은 자산 만의 재활용 정제기술인 다단침출기술을 통해 업계 최고 수준의 유가금속 회수율(95%)을 견인했고다. 또 양극재에서 불순물을 제거한 후 니켈...,2023-11-27
26,새빗켐도 등판 준비…폐배터리 재활용 기업 'IPO 훈풍' 이어갈까,https://www.hankyung.com/economy/article/2022071846541,한국경제,2022.07.18.,새빗켐 배터리 재활용,공모주 시장이 배터리 재활용 기업 새빗켐의 수요예측에 주목하고 있다. 같은 폐배터리 재활용 기업인 성일하이텍이 앞서 수요예측 경쟁률 사상 최고 기록을 다시 쓴 데다 배터리 소재를 만드는 더블유씨피(WCP)도 대규모 공모에 나서 기업공개(IPO) 시장에 훈풍을 불어넣을 것으로 기대돼서다. 18일...,2023-11-27
27,상장 줄잇는 폐배터리 재활용 기업... 새빗켐·성일하이텍 성적 주목,https://www.ajunews.com/view/20220630143621496,아주경제,2022.06.30.,새빗켐 배터리 재활용,"광물 매장량이 제한된 만큼 2차전지 시장이 확대될수록 사용기간이 지난 폐배터리의 재활용 문제가 부각될 수밖에 없다. 새빗켐은 2차전지 핵심 원료인 니켈과 코발트, 망간 등을 분해해 고객사에 판매하거나, 복합액 형태로 정제해 전구체 원재료로 판매하는 사업을 영위하고 있다. ...",2023-11-27
28,"배터리 재활용 업체 새빗켐, 증권신고서 제출…""8월 코스닥 상장""",http://www.digitaltoday.co.kr/news/articleView.html?idxno=451220,디지털투데이,2022.06.29.,새빗켐 배터리 재활용,"새빗켐은 2001년 설립된 배터리 재활용 전문 업체다. 배터리 양극재 제조에 쓰이는 전구체 복합액과 재활용 양극재가 매출 70%를 차지한다. 지난해에는 전기차 시장 수요 증가와 배터리 원료 재활용 요구 상승으로 매출 334억원, 영업이익 55억원이라는 창사 이래 최대 실적을 기록했다. 최근에는 LG화학과...",2023-11-27
29,"새빗켐, 화학연과 수산화리튬 회수 기술 개발 협력",http://www.digitaltoday.co.kr/news/articleView.html?idxno=473444,디지털투데이,2023.04.06.,새빗켐 배터리 재활용,"새빗켐은 폐배터리 재활용 사업을 영위하고 있다. 고순도 정제기술과 튜닝기술을 개발, 하이니켈에 최적화된 전구체(NCM) 복합액을 양산한다. 최근에는 폐배터리 원료 재활용공정 초기 단계에서 탄산리튬을 경제적으로 추출하는 기술도 특허로 등록했다. 여기에 화학연과 공동개발로 수산화리튬까지...",2023-11-27
30,"'폐배터리 재활용' 새빗켐, IPO 준비 돌입",https://www.ddaily.co.kr/news/article.html?no=240233,디지털데일리,2022.06.20.,새빗켐 배터리 재활용,- 올해 하반기 코스닥 상장 예정 폐배터리 재활용 업체 새빗켐이 기업공개(IPO)에 나선다. 올해 하반기 코스닥 상장 목표다. 20일 새빗켐(대표 박민규)은 한국거래소로부터 상장예비심사 승인 통보를 받았다고 밝혔다. 상장 대표 주간사는 한국투자증권이다. 은 지난 1993년 설립된 동양케미스트리가...,2023-11-27
31,"새빗켐, LG화학·켐코 합작법인과 폐배터리 재활용 협력",http://www.edaily.co.kr/news/newspath.asp?newsid=01758086632365000,이데일리,2022.06.24.,새빗켐 배터리 재활용,박민규 새빗켐 대표는 “이번 협약은 새빗켐이 보유한 배터리 재활용 기술의 우수성을 인정받은 것으로 배터리 재활용 사업에 꾸준히 투자해온 노력의 결실”이라며 “기업공개(IPO)를 통해 친환경 배터리 재활용 기술을 더욱 고도화함으로써 자원순환 체계를 구축하는 데 선도적 역할을 하겠다”고...,2023-11-27
32,"[더벨][배터리 리사이클링 줌인]새빗켐, '영업이익률 30%' 알짜기업 비상 채비 마쳤다",http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202211041114358240102188,더벨,2022.11.09.,새빗켐 배터리 재활용,"폐배터리 재활용 업체 새빗켐은 올 1분기 영업이익률이 33.52%를 기록하며 우량기업으로 도약할 채비를 하고 있다. 새빗켐의 영업이익률이 높은 배경은 전구체 복합액으로 불리는 NCM복합액 제조 공정에 근간을 두고 있다. 새빗켐은 타업체가 니켈, 코발트 등 유가금속을 각각의 고체 형태로 추출하는...",2023-11-27
33,"[더벨][배터리 리사이클링 줌인]새빗켐, 전구체 순환경제를 리딩한다",http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202211031421360160101617,더벨,2022.11.08.,새빗켐 배터리 재활용,"새빗켐은 폐배터리 재활용 업체 가운데 성일하이텍에 이어 두 번째로 코스닥 시장에 상장하며 업계 리딩 기업으로 도약하고 있다. ◇올해 450억, 내년 700억~800억 매출 전망...폐배터리 재활용 사업 고속 성장 새빗켐은 1993년 동양케미스트리로 시작해 설립 초기 폐수처리 약품 사업을 시작한 후...",2023-11-27
34,"[더벨][IPO 모니터]‘배터리 재활용’ 새빗켐, 최대변수 ‘성일하이텍 성적표’",http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202204251715067960106539,더벨,2022.04.29.,새빗켐 배터리 재활용,"증권업계 관계자는 “새빗켐이 배터리 재활용 분야 첫 상장기업이 되긴 현실적으로 불가능하기 때문에 성일하이텍을 IPO의 바로미터로 활용하는 전략을 도모하는 모습”이라며 “현재의 일정으론 성일하이텍의 흥행 열기를 이어가는 그림인데, 만약 흥행하지 못한다면 속도를 조절해 시장을 관망할 것”...",2023-11-27
35,"[오늘의 특징주] 유니온머티리얼, 화인써키트, 위더스제약, 아이에스동서, 새빗켐, BYC 등",https://www.thekpm.com/news/articleView.html?idxno=146476,포인트데일리,2023.02.17.,새빗켐 배터리 재활용,"협약 기간 새빗켐은 폐배터리 재활용 사업 경험을 바탕으로 태양광 폐패널 재활용센터 구축을 위한 시설 및 인적 자원을 지원할 예정이며, 리셋컴퍼니는 태양광 폐패널의 통합 전처리 및 유가자원 회수 기술을 기반으로 연구·개발, 실증사업 협력 및 인프라를 지원할 계획이다. 은 2차전지...",2023-11-27
