index,title,url,press,date,keyword,content,filtered,isBlacklist,Scraped_date
29,"자산매각에 대출‧유증까지…SK그룹, 자금 확보 총력전",http://www.m-i.kr/news/articleView.html?idxno=1029915,매일일보,2023.07.11.,SK 이노베이션  암모니아 신사업 해외,등 해외 유망 반도체 소재·부품·장비 기업에 투자하기도 했다. SK이노베이션도 친환경 사업구조 전환을 가속화하기 위해 1조1800억원 규모의... SK이노는 유상증자를 통해 확보한 자금을 소형모듈원자로(SMR)와 수소·암모니아 등 개발 및 연구·개발(R&D)에 투자할 계획이다. 온은 계열사 중...,fail,Not in Blacklist,2023-12-26
30,똑같은 유상증자인데…CGV 폭락하고 SK이노는 반등하는 이유는,http://news.mt.co.kr/mtview.php?no=2023070514560313598,머니투데이,2023.07.05.,SK 이노베이션  암모니아 신사업 해외,"SK이노베이션도 유상증자 중 일부(3500억원)를 채무 상환에 사용하긴 하지만 대부분은 신사업 투자에 활용한다. 타법인증권 취득자금 목적인 4092억원은 수소·암모니아 등 무탄소 에너지 공급을 위한 기술과 탄소 포집 기술, 합성원유 등의 신기술 확보에 사용할 계획이다. 시설자금 4185억원은...",fail,Blacklist,2023-12-26
31,"1조 조달 LG엔솔·SK이노, 엇갈린 희비",https://www.topdaily.kr/articles/94260,톱데일리,2023.06.30.,SK 이노베이션  암모니아 신사업 해외,"강동진 현대차증권 연구원은 ""SK이노베이션이 투자하는 수소 암모니아(924억원 규모), 폐기물 활용한 지속가능 항공연료(SAF) 생산(2244억원), 차세대 이산화탄소 포집·활용·저장(CCUS) 기술 확보(924억원) 등 신사업 결과는 2025년 이후 나타나기 때문에 기업가치 개선 효과가 본격화하기까지는 시간이...",fail,Not in Blacklist,2023-12-26
32,11월 1주차 국내 ESG 핫클립,http://www.impacton.net/news/articleView.html?idxno=10201,임팩트온,2023.11.02.,SK 이노베이션  암모니아 신사업 해외,"탄소 배출을 줄이면서도 경제 성장을 지속할 수 있는 방법을 찾기 위해 100% 재생에너지로 대체하기보다 원자력, 수소, 암모니아 등 무탄소 전원을... 25일 업계에 따르면, 최근 SK이노베이션의 배터리 자회사 SK온이 녹색채권 발행으로 회사채 시장에 첫발을 내딛었다. LG에너지솔루션은 지난 6월 총 1조원...",fail,Blacklist,2023-12-26
33,박정원 두산그룹 회장의 놀라운 변신…4차산업 체질개선 '합격점',http://www.fintechpost.co.kr/news/articleView.html?idxno=171367,파이낸셜포스트,2023.09.20.,SK 이노베이션  암모니아 신사업 해외,두산모빌리티이노베이션(DMI)도 'H2 MEET 2023'에서 DM30의 소형 버전 파워팩 DM15를 공개했다. ㈜두산의 완전자회사인 두산모빌리티이노베이션은... 두산에너빌리티는 영국 암모니아 크래킹 솔루션 업체인 JM사와 암모니아 크래킹 사업 협력을 위한 업무협약을 체결했다. 크래킹은 고온에서 ...,fail,Not in Blacklist,2023-12-26
34,8월 5주 주요 제조업 전망,http://www.laborplus.co.kr/news/articleView.html?idxno=32196,참여와혁신,2023.08.29.,SK 이노베이션  암모니아 신사업 해외,높이고 신사업 기틀을 강화하겠다고 밝힘 ▷ 전망 - 한화오션의 투자는 방산 부문의 해외 진출·친환경 연료 기반 선박 기술 확보·스마트팩토리 및... 두산디지털이노베이션과 체결했다고 24일 밝힘 ▷ 전망 - 두산로보틱스는 GPT를 탑재해 스스로 오류 수정을 반복하고 임무를 수행하도록 협동로봇을...,fail,Not in Blacklist,2023-12-26
35,"[SK, 글로벌 위기 극복 해법은] 공격적 해외자원 개발, 하이닉스 적기 투자",https://n.news.naver.com/mnews/article/086/0002118595?sid=101,내일신문,2012.07.30.,SK 이노베이션  암모니아 신사업 해외,"이 콤플렉스는 중국 충칭시에 건설되며 부탄디올(연산 20만톤)과 초산(연산 60만톤), 암모니아(25만톤)를 동시 생산할 수 있는 규모다. 모두 총 투자비... SK그룹은 SK이노베이션 등 환율과 유가 변동에 직접적으로 영향을 받는 관계사들과 환대책위원회를 가지면서 다양한 대책을 검토하고 있다. 또 환 리스크를...",success,Not in Blacklist,2023-12-26
36,"""이번엔 2차전지다"" 포스코-SK, 세번째 그룹동맹의 의미",http://www.newsway.co.kr/news/view?tp=1&ud=2022061620462636985,뉴스웨이,2022.06.16.,SK 이노베이션  암모니아 신사업 해외,"이번 동맹은 지난해 3월 미래모빌리티의 핵심 경량화 신소재 개발, 같은 해 9월 수소 및 암모니아 분야 협력 이후 세 번째다. 두 기업의 협업은 최근 전... SK이노베이션은 지난해 포드와 함께 미국에 배터리 공장을 건립하기로 결정했다. 온은 글로벌 승부처를 미국으로 삼아 반전을 꾀하고 있다. 현재 북미...",fail,Not in Blacklist,2023-12-26
37,8월 1주 국내 ESG 이슈 핫클립,http://www.impacton.net/news/articleView.html?idxno=6986,임팩트온,2023.08.03.,SK 이노베이션  암모니아 신사업 해외,"'그린자산' 뭐길래…SK이노베이션 1조 들여 두 배 키운다 SK이노베이션이 수소, 암모니아, 폐기물 가스화, CCUS 등 '그린 자산' 확대를 위해, 2026년까지... SK그룹이나 포스코그룹이 배터리 밸류체인을 크게 확대하는 것처럼, 현대글로비스도 현재 물류·상사 사업의 노하우를 기반으로 배터리 에 적극...",fail,Blacklist,2023-12-26
38,‘바이오·케미칼’ 끌고 ‘유통’ 밀고…‘뉴 롯데 DNA’로 반전 노린다,https://economist.co.kr/article/view/ecn202307100004,이코노미스트언론사 선정,2023.08.06.,SK 이노베이션  암모니아 신사업 해외,"수소암모니아 등 신사업 육성전략을 강화해 나갈 계획이다. 식품군은 기존 사업 밸류체인 고도화를 통한 수익성 개선, 글로벌 사업 확장 및 푸드테크를... “불확실한 환경에서 과거 행동 양식 바꿔야” 신동빈 회장 역시 2023년 하반기 VCM(Value Creation Meeting)에서 경영 키워드로 ‘언러닝 ’(Unlearning...",fail,Not in Blacklist,2023-12-26
39,반도체·신소재 키워라… 새판 짜는 석유화학업계,http://www.yonhapmidas.com/article/230804110828_396249,월간마이더스,2023.08.05.,SK 이노베이션  암모니아 신사업 해외,"SK이노베이션은 1조1천800억 원 규모의 유상증자를 통해 차세대 소형 모듈 원자로, 수소·암모니아 등 신사업 개발에 투자할 예정이다. 롯데케미칼은... 또 2030년까지 120만t 규모의 청정 수소를 생산한다는 목표로 해외 기업들과의 협력도 본격화하고 있다. 한화솔루션과 한화토탈에너지스는 최근...",fail,Not in Blacklist,2023-12-26
