단어,빈도수
코리아,143
구성,8
해부,24
진심,17
개정안,42
캐리어,1
윤진영,1
다양한,14
앞장서겠다,1
일이,6
만난,14
임덕빈,3
재개발,8
원장,4
NEWS,4
▶,4
창업가,4
판로,8
가상,4
이승우,2
탄화,4
품격,1
있는,22
플라즈마,2
SOIL,6
국표,3
사용,15
고성능,1
탈질,1
소수,3
수급,7
시선집중,4
소통,6
프로세스,2
버리던,1
재활용,56
일회용품,1
기지개,2
켠,1
백정,2
완,3
반세기,1
생일,1
할것,1
미세먼지,3
다석,3
FOCUS,9
키로,34
수송,2
풍향,6
늘리고,11
관측,5
형사,17
견사,4
논의,43
열어,13
나눔,5
국민대,2
복지부,2
장관,8
김영문,2
성적표,13
도산,2
단공,1
산단,4
분산,20
특별법,1
컨트롤,3
비용,7
부담,14
우선,11
양충,1
새만금개발청장,1
새만금,11
다운,5
입은,1
중심지,8
홍의,15
폭,10
신중,1
모드,1
박일준,1
세상,7
풍요롭,1
발전기,1
패러다임,31
바꿨다,2
해외진출,22
IJ,2
Global,3
김신,2
특화,2
의전,1
당,6
TECHNOLOGY,1
양호,5
이규,7
강원,2
도심,6
항공,42
교통,10
이력,1
쌓기,1
욕심,1
도미니카,1
주전,22
승기,3
INSIDE,7
총대,8
맸다,3
나섰다,15
파고드는,8
까닭,21
유가,32
세로,8
타격,10
상업,6
운전,2
보유,13
프로그램,9
신바람,1
PSM,3
성능,3
받았다,2
자드,1
BTS,1
포스,9
멘트,1
광폭,19
리딩,1
컴퍼니,7
꾸려,1
구성수,1
완성,40
중후,8
장대,8
지도,15
항공우주,17
정제,9
마진,5
유종,3
미,3
강원랜드,8
뭉쳐야,11
산다,16
힘줘,5
박흥,2
｜,5
통,26
김병숙,5
나갈,1
심층,2
기본,13
곧,8
기기,16
강,32
정주영,18
신화,27
재현,17
섬유,16
제조,32
CNS,4
공헌,10
지니어스,3
청소년,3
층,3
접점,3
잡으러,7
아랍,7
Net,10
Zero,10
점한국,1
남호주,1
시멘트,2
올리는,12
부생,19
거래,32
뚫는다,5
Build,5
Up,5
Korea,15
노사,1
화합,1
재도,4
건축가,1
바이어,3
경협,5
순방,23
국수,10
상호,7
해자,1
맞아,3
SEN,1
루머,1
윌,1
링스,2
음식물,1
쓰레기,2
벨트,1
데이터,12
연합,6
다크호스,12
전진,8
주우진,1
빌게이츠,4
필수,27
家,38
있다,15
경주,13
개막,60
자체,3
후유증,1
과시,9
방사선,1
차로,1
윤석열,16
표,7
반,17
색,18
맏형,2
구자균,2
김준,14
통상,11
자원부,11
팜부터,3
종횡무진,5
힘준다,14
바꿔다는,4
집약,4
세대,36
관건,65
새로,17
쓰는,5
Invest,43
유상증자,40
빚,13
갚는,10
년대,58
전면,33
거세진,13
수론,12
세습,12
여전,13
똑똑,3
닻,16
굿바이,3
대우조선,50
역사,8
직접,29
이규호,42
최기일,5
보국,6
대효,5
록히드,3
마틴,3
품었다,3
선호,4
넘사벽,3
in,13
웃는,1
풍향계,6
풍력에너지,2
집,36
자제,22
축,31
특명,15
삼현,16
세론,1
양도,1
휘청,11
조선,84
뚫어라,4
등판,9
MZ,13
센,19
만의,18
리그,14
후계,10
폴란드,17
선물,12
진두,8
지휘,16
빌더,1
빌더로,1
멀어져,3
군단,3
MBA,3
가로,3
꾸렸다,4
무산,7
경영인,18
든,3
탑,9
좌초,4
강소기업,1
로스,2
평형,1
처리,3
이틀,11
웃음,4
줌인수소,1
싣는다,6
엔진,23
떨림,1
제네시스,5
GV,5
집단소송,1
휘,1
말려,1
운용,5
HMM,18
만주,1
시험대,11
해운,7
전담,15
권오갑,14
항해,1
앞두고,17
장이,2
주도한,4
젊은,5
결,1
나설,4
검은,9
나침반,8
짜리,5
人,8
사이트,13
정기석,1
에기,1
평,5
PD,1
정립,1
카드,41
메이커,6
“韓,1
없인,1
사막,18
외톨이,1
될수도,1
현안,3
하자,7
바뀐,7
프로필,2
장단,11
열었다,2
보도,3
일월,3
플,7
보령시,1
민관,37
세운,21
주도한다,5
김화영,1
FITI,1
시험,4
브리핑,52
국무총리,1
표창,3
정유신,1
권토,1
파이,2
키우고,7
내실,20
일본,24
회의,6
위원회,45
조치,14
맞서,1
동부,2
팔,6
걷었다,1
외형,9
내실도,2
상길,1
KEPIC,2
표준,11
성장하는,1
중요,1
김희철,7
국세청,2
대금,2
설,10
톱뉴스,13
조간,10
흔들리는,13
직면,3
수확,1
남구,4
격감,1
서비스,8
중간,19
신고,4
출시,15
GB,3
차별,10
×,7
스페셜,17
인들,13
진격,14
백,17
자산운용,15
있었다,9
밑그림,8
김동선,5
유통,45
해공,12
짠다,3
아들,6
유통업,5
고속,19
바꾸나,5
몰두,5
화제,4
형제,10
구도,6
issue,1
탐구,5
에어,13
위성,2
통신,16
式,6
출자,4
돌아온,3
박승,3
해온,5
정권,12
바뀌자,7
실효,5
성은,6
닦아,4
줍,18
아연,11
벗어나,7
고픈,6
챙긴,7
소우주,7
장착,5
NH,17
늘었는데,6
원대,12
上,8
소미래,3
명운,6
굿모닝,8
광화학,4
받을,1
불꽃,18
DNA,18
최성환,6
호실,30
니콜라,20
대박,9
父子,4
곳곳,4
거두기,1
같이의,1
멀리,2
초석,2
추석,7
나기,4
REC,2
실리콘,7
최측근,2
이사,13
보낸다,2
외화채권,1
발행,27
실리,1
열전,4
등기,3
최적,6
임자,2
TNA,9
분담,1
사내,6
상무,4
백화점,4
겸직,2
합류,7
급해졌다,1
정리,51
최광호,13
판이,3
바뀐다,3
뚝심,5
기틀,1
인공,4
고기,2
뉴에이지,2
밋츠,2
Q,21
↓,18
기존,4
행각,1
배치,11
겹호재,1
탄환,3
전소,5
소부자,5
금맥,5
트로이카,18
불안한,6
업황,8
빈약한,5
곳간,14
유증,19
동의,5
숙제,25
生,4
TALK,4
우군,18
든든,10
On,4
the,6
move,4
심어,3
둔,4
고충,4
화가,12
가장,14
많아,11
이복,4
과열,11
양상,7
KoAct,4
액티브,6
몰려,4
호주,55
스탈,8
나설듯,3
CIP,5
사와,15
침울한,9
법대,9
중견,10
모멘텀,19
⓷,2
내정,3
뱃고동,3
궤도,15
고삐,9
출항,22
민,7
이력서,3
드러난,3
수혈,7
PS,17
교환,10
제휴,10
눈높이,8
낮췄다,8
위축,8
주문,13
만능,5
USA,6
→,7
방,19
산우주,3
초,61
고수,7
파트너쉽,4
부각,18
文,59
어긴,3
돋보이네,2
명확해진,2
항로,2
쇼크,3
신한,5
내놔야,8
오렌지색,3
넥타이,3
첩첩산중,2
정통,1
달말,1
출격,14
임박,6
챙긴다,5
이데일리,3
통역,1
코딩,1
전문직,1
파고든,2
하늘,7
금융투자,47
호텔,4
신라,4
팬오션,12
역전,2
에스코,41
넥,41
추천,30
戰,7
LIG,8
넥스,8
뚜렷하나,2
제한,5
친환,43
경선,8
FLNG,5
나뉘는,5
유열,13
구,69
축하,6
風,2
IS,2
타파,5
대담,9
농협,5
이석준,5
국무조정실장,5
낙점관치,5
낙하산,5
브,7
적용,4
금투,13
샘,1
기아,12
조지아,2
라인,7
축제,4
넥신,1
개미,4
사로잡을,1
ETF,25
수익률,6
휠라,3
엔씨소프트,3
하나투어,1
해성,2
이마트,8
NAVER,9
기아차,23
영원,1
무역,27
천보,1
신세계,10
나스,2
미디어,6
아프리카,2
제우스,1
바이든,33
최고,78
경신,8
대유,8
브레이크,8
자동,9
차주,8
키다리,4
스튜디오,1
이어질까,6
베스,12
데이,13
황진,1
구이,1
영준,1
걸,3
맞는,6
사진,8
진용,1
미치는,1
파급,1
GSCJ,5
과의,20
소규모,1
라시오,1
멈추지,3
않은,11
토크,3
라임,2
판매,42
의혹,3
압수수색,2
잇따라,44
떨고,18
있니,2
사단,2
안되는,2
헤쳐,3
모이는,1
초읽기,3
중현,1
NAV,1
할인,2
마지막,8
퍼즐,6
맞춘,1
레벨,1
업,18
플랜,3
다이브,4
펄스,1
뭐,2
인지,1
오십,1
니까,1
공공,9
아듀,16
장씨,9
최씨,9
일가,3
경쟁자,3
사주,9
급류,2
영풍,12
계열,6
분리,12
KTNIPA,3
AIDX,3
합쳐,2
높이는,4
고른,1
정체,4
뿌리,3
린다,30
정상,15
킨텍스,5
집결,9
단위,38
머니투데이,2
오프라인,13
헤드라인,13
다보스,8
지영,17
지켜,1
일군다,2
파고,4
넘어선다,4
트렌드,13
마리,10
한꺼,1
번,14
열풍,16
올라탄,15
동거,2
꼽,1
테슬라,26
다음,15
・,23
구본혁,1
인대,1
리창,1
출상,1
고용,24
매년,3
껑충,5
앤비,2
꿰찼다,1
네이버,6
모바일,10
결제,2
페이,9
온라인,11
가맹,1
가전,2
씽,2
큐,3
보따리,34
풀리나,1
MP,2
불경기,2
B,5
뜨거워진,1
비행기,1
무엇,2
일까,9
꿈년,1
불굴,9
성취,4
나가자,2
명중,2
방위산업,1
드러낸다,2
클리,1
ADEX,2
유임,3
영광,3
불탑,2
주식회사,9
대거,27
전차,3
트램,15
소방수,1
톡톡,4
두둑히,1
쌓고,2
우량,3
잔고,1
넉,2
FILE,5
환골탈태,3
첨병,11
디자인,1
문재인,10
키워주던,5
가나,6
‥,6
위주,1
발탁,4
GSO,1
김흥수,1
플레이어,21
구한,1
철도,20
재미,1
본다,8
활동,6
신용등급,6
일제,5
히,4
뷰,1
소문난,1
대한항공,2
쇼케이스,1
충전기,8
두드리는,7
부분,2
높은,7
열차,11
포춘,13
클럽,9
라운지,1
달린다,18
아덱스,1
한눈,9
산미,1
넘,18
쌍끌이,5
기간산업,2
밑거름,2
소리,3
포머,2
최고경영자,6
집합,6
구원투수,8
진화,20
스테이션,6
축소,3
정충신,1
밀리터리,1
카페,1
륜,1
차량,5
격돌,6
디펜스,3
장군,1
멍,1
상보,7
KTX,2
이음,4
예고,20
쏟는,3
조가,1
몫,1
뚫었다,1
박해,2
린,2
마켓,25
윤활유,13
단기,1
차입,10
배경,6
미운,1
오리,1
운송,21
영상,7
앉힌,1
뭉친,9
라이벌,16
강사,10
뿜다,2
제철,93
동일,7
VS,2
골라,1
잡거나,2
둘다,1
이건용,1
우유,1
말,11
노리는,15
정몽구,6
물러나,1
따라가는,1
아우,1
맞추기,3
돌입,37
CJLS,1
중장,1
기비,1
꽃,4
피울,2
단사,2
포인트,24
현금,29
진로,1
희망,21
싹,5
틔운다,1
어바웃,2
C,7
달인,2
강현,10
분위기,4
시킬까,2
금호,22
회복할까,2
프리미엄,14
강재,2
OECD,1
산하,1
기구,2
ITF,1
투입,35
산유,7
코,29
나솔,2
나노,12
증권사,5
황당,1
지침,1
슈퍼,10
사이클,1
빵빵,2
트랙,9
대어,9
벗고,18
어필,6
설계,2
흡수,2
타깃,2
車,44
이산화탄소,9
포,3
집자,1
원화,1
완공,14
뭐길,1
가진,1
찾아간,1
김도형,1
기자,11
휴일,1
담,1
보,18
직임,1
장벽,8
포부,48
잡겠다,2
덕츠,8
채널,22
좋다,9
키울,5
조각,1
책임질,11
행사,22
어깨동무,13
來,4
V,5
노조,1
해소,6
키우기,1
아모레퍼시픽,3
이노션,3
테마,14
티앤,5
DB,4
고부,5
강판,3
고생,1
자신,4
만만,2
發,11
뒷걸음질,1
부가,6
률,21
청산,2
김용환,1
고문,1
어간,1
무장,4
에게,13
이자,6
민신,1
다졌다,22
親,12
無人,2
행차,6
共有,2
공세,2
두려워,1
않던,1
神,1
한수,2
뒤,33
짚는다,1
늘려야,5
남는다,4
부침에,4
캘,7
채굴,7
철수,6
증설,18
과극,1
현상,16
책임자,10
빛난,5
괄목,4
성장한,4
맞이,5
VOC,6
이목,5
몰입,1
나일론,1
봉쇄,1
우러,1
중고,1
그대로,2
넘을,2
KTB,3
방한,21
새삼,2
저력,3
띄워,4
애자,1
엘리베이터,4
짊,4
어진,4
일부,2
지연,1
되고,1
있으나,1
맑음,5
케이프,2
고려,3
위중,2
머니있,1
슈,1
인상,14
긍정,7
장주주,4
병행,4
상황,5
진흥,5
자상,2
모으는,5
쌍,4
마차,6
희비,11
교차,5
화섬,8
외전,11
올라타,4
탄소섬유,25
장년,3
밝아,3
살길,8
일어나나,2
더해,3
화학사,17
현준호,1
날아오른,1
총사,10
촉각,15
험로,10
손사래,3
작년,15
했길래,1
사상,13
KRX,1
편입,1
그리는,2
덕산,2
메탈,2
에어로,9
스페이스,7
와이,1
제품군,2
회복해,2
삼화,1
네트웍,4
명,55
엠로,1
농심,1
기전,1
향후,11
ESS,7
러시아,12
사할린,3
클러스터,16
성장할,1
절,3
대강,3
겨냥,7
토탈,24
매력,6
서두르자,2
뭉쳤다,33
처음,2
격차,46
서밋,16
패권,22
AT,37
KAI,24
손잡아,9
잡아,10
착수,133
잃은,2
출구,2
넓히고,1
찾고,2
린데,28
CCUS,12
백석,4
액체수소,1
맞지만,1
IBK,8
기업인,15
수준,7
대중화,7
지구,20
인류,4
동화,9
최창열,2
담당,22
화하는,3
마당,3
펼친다,4
카셰어링,4
시범,32
BEST,2
숫자,1
브라질,9
팬데믹,4
깐,10
부,17
뜨겁다,1
살린다,14
이드,11
매니저,1
HOT,1
신소재,9
단계,12
공식,13
지정,19
조석래,1
이뤄,2
낼,5
안목,4
인맥,3
담대한,5
아쉬운,4
타이밍,5
추가,32
클릭,27
e,103
개장,4
손자,3
블록,4
담았다,2
하지만,2
외면,2
벨수소,15
낙점,21
下,21
탄소발자국,8
지우기,8
앞세운,11
녹색,68
부상,33
에어리,133
퀴드,134
나우,2
톱니바퀴,2
바꿔라,1
채운다,5
점점,2
커지는,7
기간,12
조정,5
쑥,7
말레이시아,13
량,46
톤,62
MK,8
BUSINESS,6
STORY,13
앞당길,6
착한,11
표방,6
물질,14
구시대,6
엇,6
한난,6
상임,6
힘주는,10
먼저,11
만나는,12
치열했지만,10
빙하,10
GSHD,13
등락,3
되도록,3
픽,9
털어,6
낸,18
직진,6
어려워,5
MSCI,2
넷제,26
영국,9
손잡은,10
대우,30
GSSK,16
올려,7
대처,6
과정,5
LCA,2
보고서,12
발간,17
담아,3
Deep,2
Transformation,2
담은,8
늘릴,5
개풍,5
아냐,5
분전,4
암울해,4
외신,8
쉽지,5
않네,4
낙관,5
DLGS,2
어렵다신,8
떠난다,5
모험,2
이렇게,9
넓힌,2
실속,6
맥,6
짚기,6
늪,12
삼만리,15
대성,9
충분한,2
후끈,15
이끌고,12
고차방정식,5
푼다,14
울진군,11
보고,16
심상,2
찮,3
타개,2
총선,1
가능할까,10
강약,2
년비,7
증가,21
기상도,4
누가,14
웃었나,1
따라,1
기치는,1
계묘년,4
드는신,1
겹친,4
몸살,1
앓는,1
갈랐다,1
갈린,1
쨍,1
해뜰,1
사는,3
도우미,5
기록,8
빗장,4
풀렸다,2
대못,2
빠진다,2
옥수수,2
유폐,2
장사,7
티어,2
통큰,19
쏟는다신,1
구관,1
명관,1
이냐,7
성골,1
맏,1
태,5
수호,1
액침,2
냉각,2
SAF,2
무게,4
추,4
낮춘다,2
불확실,13
성의,8
뽑겠다는데,5
에는,5
몸부림,2
서둘러,7
호시우,1
보년,1
서서히,1
구체화,10
지조,5
의리,5
허창수,6
GSLG,5
넘어서,6
칼,6
발목,6
잡는,11
분구,1
올인원,4
배송,2
구체성,4
모호,4
의기,1
투합,1
의장,6
짓고,12
향상,5
꽂혔다,10
뿜뿜,4
모니터,12
달린,3
쿼티,3
파괴,3
오명,2
뗀다,2
수소탄,2
궁지,1
몰린,4
사연,2
빼고,16
엇갈린,3
DS,5
단석,5
IR,9
구미시,5
백씨,4
평균,4
구광모,51
뛰며,6
처가,1
박수,1
남철,2
임무,2
사수,5
LX,8
같은,20
여력,15
브이,6
지엠,4
라미,4
팅,4
떼내고,4
코스,5
메,8
틱,4
양길,3
접어든,2
VC,22
반한,4
서든데스,2
제거,2
리다,2
격전,6
권영수,7
최윤호,6
혼다,17
북미,14
무르익는,3
엑,6
언,7
누적,8
거리,2
km,4
구체,2
피구,3
형성,12
오피스,1
대화,9
머니에,1
불발,3
됐지만,1
심양,1
한때,5
맞수,6
너무,5
분쟁,4
공생,1
共生,1
관계,5
동남아,8
쳐진,4
추격,11
탄탄한,13
찾은,26
짜는,2
나올까,3
IRA,16
높이,11
지오,5
애경,16
융합,5
편,11
찬성,1
모을까,1
급성,6
돌아보는,1
Pick,13
되겠다,3
Part,3
Ⅲ,7
코렉,1
시트,1
손잡았다,6
박철,1
전지수,3
소사,1
업도,1
어떻게,16
가고,2
있나,3
SKASML,1
CES,17
선보여,1
머,8
얼,17
손질,1
중복,5
수공,2
EP,3
보강,5
처분,3
실질,2
조력자,4
오스,1
중계,3
시프트,4
채우기,1
입지,35
급증,6
앵커,1
며,11
발돋움,4
년통,1
쑥쑥,4
최소,4
회사채,7
인정받은,2
Company,3
Watch,2
진통제,1
결의,10
끄,6
떡,6
없다,17
특사,1
칸,6
김동하,6
스포츠,58
전당,7
아너스,3
영구,7
헌,13
아이파크,5
한세상,6
캐슬,3
푸르지오,3
블룸,42
GH,3
텔레콤,21
스퀘어,26
T,39
롤드컵,18
우승,15
SKTSK,3
축승회,6
쉴더스,7
스틴,3
베스트,7
전체,4
AA,3
EMR,8
식,30
가족,4
코어,18
입상,3
외길,6
오경식,3
스포츠인,3
밤,3
공로상,3
KTLG,3
유플러스,9
한중일,13
선수,6
여수,12
달군다,3
전남,24
라이센스,3
커머스,9
PICK,5
스토,12
쿠팡,33
세븐일레븐,3
번가,33
박상규,12
이석희,3
바사,3
폐렴,3
균,3
제상,3
임상시험,3
신청,4
강제,8
수순,6
밟는다,3
콜,17
옵션,15
포기,26
LoL,6
펍,3
태극전사,3
유진,4
탈환,3
SP,3
월간,4
일절,3
쿠폰,3
조대,3
머무는,3
공간,4
다르다,3
EBOOK,3
이커머스,9
위메프,9
어워즈,6
티몬,9
인터파크,3
CJ,40
ENM,3
carries,3
out,3
complete,3
reshuffle,3
of,3
top,3
brass,3
퇴직,4
진공,5
유회,3
플래닛,3
우아한,3
감사패,3
이웃,6
사랑,12
성금,3
기부,5
페이커,9
소속,3
아저씨,3
정복,3
⑭,4
CATL,4
축복,3
견제,3
그물,3
숨은,7
여행,5
쏜다,4
턱,3
웹,3
어워드,7
핸드볼,3
도로,5
제주,109
더해질,3
디바이스,3
대학,12
과학,8
호남대,3
라스베가스,3
넷,18
제로,29
시한,3
절강,3
동티모르,3
한미글로벌,4
반영,8
Ecoplant,3
completes,3
battery,3
recycling,3
plant,3
China,3
함성,3
뒤편,3
TGA,3
중단,4
N,8
인기,3
정도,4
였어,3
질문,3
폭주,3
KeG,3
결선,6
서울,21
강동,3
가구,11
예정,11
높인,5
다지,8
엑시콘,3
CXL,3
자리,12
S,7
사향,3
코앞,4
기념,4
프로모션,3
CLX,3
김종화,3
킨드레드벤처스,3
소프트뱅크,3
벤처스,3
Today,3
클래스,4
돌아온다,3
KR,3
SEEMP,3
PartIII,3
컬리,3
해피,3
리틀,4
띵스,3
캠페인,6
SSG,3
닷컴,3
온스타일,3
샵,4
ZD,3
인적,5
쇄신,4
쏠리는,13
품아,3
광명,3
힐스테이트,6
SKVIEW,3
증폭,4
나일,3
움츠린,3
사이,9
홀로,8
메모리,4
침범,3
스마트홈,3
스토킹,3
막는다,3
캡스홈,3
누비,3
랩,3
푸드,3
전시,3
SDS,3
에이치시티,3
둔화,13
p,4
치열한,4
뛰어들었다,4
씽씽,8
투어,4
사이클링,3
엠텍,3
갖춰야,3
에스프레소,3
ESPRESSO,3
담겼다,3
헝가리,1
샤르자,3
가린다,3
빼든,3
살릴까,3
전세계,14
구단,3
살맛,3
아니다,2
하나은행,3
LOL,3
전설,3
마케팅,5
숏잇슈,3
Telecom,3
helps,3
win,3
World,3
Championship,3
via,3
sponsorship,3
국민연금,11
반발,6
프로비,4
저하,4
ECO,3
거침,3
없이,11
아이,1
동인,1
기연,1
피팅,1
밸브,2
한선,39
깨고,2
갈아입다,2
김익,3
다우,3
블록딜,4
명세서,3
청구,4
제출,4
종업,1
불린,1
땐,6
○○○,1
결과,3
다를까,1
패,1
건전성,5
내세워,2
지고,8
뜨고건,7
설사,8
초도,7
호기,10
공권,8
산적,2
외친,4
IPOIR,1
줄어든,1
노선,2
굳히는,1
신의,2
⑩,7
장주,30
손잡거나,1
인수하거나신,1
식초,1
개화,9
비앤티,1
에이치엘비,1
ESGSK,1
진행형,4
봤더니,3
흥행,6
싸늘한,1
MTN,3
deep,1
⑰,15
SKLS,1
도움닫기,1
IEA,2
참석,5
순수한,1
오리무중,1
붙은,11
금주,12
르,1
룩,1
희색,3
별도,1
방긋,10
컨센서스,3
부합,3
제련,2
넘겨받을,3
환율,11
귀금속,1
방어,2
중인,3
산,6
분기도,3
대체로,1
흐림주가,1
심기,1
불편,1
오름세,1
떨어져,1
악,3
영향,15
경계,11
스프레드,1
입금,2
늘어도,1
안심,2
군견,2
바뀔까,3
대결,2
평가전,2
진검,3
실체,1
드러나,1
입는,2
흠,1
테이블,1
높아,2
뜨겁게,1
달군,1
비철금속,5
파도,2
매게,4
복병,4
격투기,3
강철,3
비전은,3
부족,17
익머,10
홀릭,2
동침,13
코피티션,8
출장,12
접고,4
연휴,7
숨,4
고르기,2
POSCO,2
심텍,2
순혈,1
주의,5
여성,5
자비,4
RE,19
이영준,1
켜,2
원활,1
내던,1
이었는데,1
내서,2
키운,6
밀고,6
반전,18
이어진,1
측면,3
중성,3
물이,3
도출,3
시점,4
과거,1
잊어라,1
쓰자,1
㉖,1
이로운,1
다양성,1
선한가치로,1
여명,1
모았다,3
던질,1
롭고,1
이롭게,1
영근,2
점진,3
등신,1
辛,1
똑같이,1
걷는,2
빨라지는,6
손실,7
시중,1
은행,2
얻은,2
얻었다,1
증명,3
미쓰비시,2
섭외,1
쓴맛,1
코노,1
Y,1
배당금,1
늘린,1
숨통,5
트이나,1
강호,1
명가,10
콜라보,1
맡긴,1
파키스탄,1
PTA,1
신유,3
랑,2
유동성,4
자사,2
복의,1
효,1
근,4
디바이,1
일반,3
경쟁률,5
선급,2
금융위,9
PF,20
불안,21
채안,9
펀드,88
안정화,12
연장,19
중소,9
취급,9
제동,13
CFE,20
올,40
김철호,19
Market,9
WatchIPO,9
거세진다,9
사후관리,9
미흡,9
더벨재편,1
건축,4
원동력,2
높아진,2
래미안,5
에서도,5
지킬까,5
맹,5
하다,6
따라올테면,2
따라와,3
봐,7
킹,1
달러,85
벌어,1
제일,1
째,9
비밀,1
잘나가는,3
카타르,16
유안,3
상회,3
인신,1
억대,8
넓히는,10
정석,3
다잡은,2
사실,5
머쓱한,1
실력,1
가율,2
지킨다,5
벤토,4
선견지명,5
선한,7
혁혁한,1
피스,1
없어,4
군함,2
치른,2
값진,2
수업료,2
부동,1
어헤드,1
年,1
년전,5
적자던,1
대로,3
넥스트,11
스텝,4
했지만,1
멋지다,2
깜짝,6
팝,1
뷰티,1
말레이,6
위상,7
比,7
인간,2
존중,2
갈수록,2
전통,4
후보,3
상표권,1
오스트리아,2
OMV,1
비화,1
주효,1
TOP,9
초과,4
입증,4
커진다,19
유효,2
유,10
안타,4
동영상,1
명확한,1
화공,1
실린다,2
장경영,5
앞,30
어스,8
페트로나스,6
셰퍼드,5
바라봐,2
유효한,1
저무는,1
호황,4
스타즈,1
FEED,1
to,3
無,1
거품,2
꺼지고,2
더뎌,2
다급해져,2
가파른,3
편안한,1
발주,15
장밋빛,7
컨소,1
분해,1
성균관대,1
손년,1
장학생,1
선발,1
탄생,7
옮긴다,1
해저,1
택,2
바이,8
나자,1
새정부,8
보나,4
어가,2
뒷방,4
안방,4
본다수소,4
투톱,4
뛰어드는,8
주린이의,2
강점,9
봇물,13
터지나,1
팜,9
노바,1
메이트,1
성공할까,27
아픈,1
손가락,2
됐나,5
선기,1
자재,6
않는,4
둘째,1
운항,5
살렸을,1
애물,2
어때,1
사망,4
디케이,1
빅이슈,1
대기,2
국경,3
초월,1
격변,1
에서는,1
편다주가,1
삭발,2
하며,5
말렸는데,2
겪나,2
이동걸,2
해운업,3
누리는,1
외치는,1
걸겠다,1
쏠린,3
폭풍,1
셋,5
뗀,1
흔들,3
년새,3
바꿔,1
몽골,1
재개,4
돈맥,1
허성,4
뭉친다,1
골프,2
힙,2
쌍용,6
루브리컨츠,1
타이어,5
코드,23
희구,3
데뷔,4
무대,6
였을까,1
봤다,1
음압,1
병실,1
궁합,4
PEST,6
P,3
편법,1
증여,1
아라미드,3
세코,1
닉스,3
밝힌,43
CCU,1
현중,6
어닝,4
서프라이즈,3
필름,2
정국,1
BGF,1
배달,5
맡으며,1
나가네,1
전무,2
상민,1
이팔,2
휘청인,2
초비상,1
붐,80
회색,2
푸른,2
분다,2
플로우,5
이룬,3
강남,6
호안,1
탄을,1
만들자,1
필,3
必,2
변혁,4
이끌어야,2
수첩,4
정탁,4
일궈,1
팩토리,3
안고,1
착공,16
모든,10
고로,1
상환,1
차환,1
인터가,1
모터,25
“美,2
주시,1
원산지,1
걱정,2
멈춤,3
최병철,15
자문,5
쌓아,4
변수,1
영민,6
비정,4
했나,4
예기,1
내일,17
제로원,1
베를린,1
눈부신,13
적성,1
굴착기,5
창조,17
일석이조,2
거기,16
있기,2
때문,6
조억,27
코퍼레이션,1
결집,14
암울한,1
늘리나,1
훑는,1
NewEnergy,1
조천억,5
살펴보니,9
상인,1
천억원,15
파나마,2
웃었다전,1
수렁,3
맺고,7
쓰고,1
읽는다,1
모델링,4
만회,1
개론,1
분사,1
뉴질랜드,1
내고,2
균형,2
잡힌,2
조절,8
화이트,9
상현,1
올리,1
자강,1
달호,1
입성,3
弗,10
결론,1
예심,1
㊲,1
CO,8
₂,12
잡으면,1
捕集,1
보이지,1
한파,25
뚫을,1
미루기,1
꼭,1
늦춰진,1
모은다,1
삼수생,1
던진,1
경차,28
Sponsored,2
Content,2
강화해,2
활짝,12
開,1
만건,1
대책,12
재경,8
찾자,1
SW,1
국적,1
연령,1
성별,1
•,3
르쌍쉐,1
쾌항,1
중고차,3
내연기관,1
랜드마크,1
흥망,1
성쇠,1
상징,1
남산타워,1
왕,3
일군,1
모태,1
연매출,2
세미,2
스템,1
동성,3
브라더,1
쌓인,1
그늘,1
벗,1
서기,4
정몽혁,1
코퍼,3
돼야신,1
절친,1
반경,1
넓히며,1
굳힌다,4
나서며,1
바깥,1
집안일,1
싣기,1
터보,1
저온,1
이송,1
펌프,1
파트,1
각각,4
KIC,6
절대,4
새우등,2
야구,1
국가대표,6
라인업,3
최상,1
코너,1
내야,3
아버지,12
남,13
이정,1
세진다,3
김대호,3
박사,3
했다수요,1
죽음,3
골짜기,3
다다른,3
플로,4
늘어난,3
FCF,2
마이너스,3
로드,11
그레이,17
머물러있는,6
쯤,6
어벤져스,42
고속도로,10
통행료,7
반값,10
쾌,3
내비게이션,17
꽂히다,19
신평,6
더벨발,1
모채,1
입히는,1
낸셜,1
스토리,2
누구,12
손잡는,7
김철,3
돛,9
달자,5
누린,2
수산,2
클라우드,2
주춤,15
완재,2
SKC,4
형구,7
비주,5
공유경제,5
나도,5
셰일가스,5
ECONOMY,4
강한,5
OK,4
자본,5
재밌는,4
많을것,4
하부,4
인망,4
소거,3
버넌스,3
시급,18
코리안,1
성지,1
경기도,17
안산시,1
개년,1
외국인투자,1
세워야,2
이시종,4
충청북도,4
지사,21
이원희,2
사이버,1
대학교,1
공학,2
대학원,1
석사,1
학위,1
딴다,1
정몽원,2
만도,10
한라,3
이해,1
하기,8
Lucas,1
Critique,1
Crisis,1
Opportunism,1
Fireside,1
Chat,1
잘살게,2
열정,3
임병연,2
COVER,7
반쪽,1
두렵다,1
크다,1
캐치,3
처럼,3
수단,11
제재,28
녹슬까,2
페인트,2
칠,2
버텼죠,2
견디고,2
한울,7
피운,2
신속한,3
나서자,1
요소,13
뻗은,5
한미,95
공조,5
지름길,8
펼쳐,8
순풍,9
충분할까,2
차질,5
벌써,3
아니,1
교수,3
