단어,빈도수
로보틱스,9
김영,3
인더스,17
트리,34
김승모,8
신학,30
박,83
형,161
서부,120
이구영,23
솔루션,225
큐셀,28
김호,6
빈,62
중부,58
정연,64
인,240
허,107
태수,98
마,21
창민,3
DL,76
앤,201
정기,214
HD,269
현대,1232
조선해,126
양,195
정의선,330
자동차,289
이재용,97
최성,35
중공업,481
김선희,2
매일유업,2
현성,45
엔지니어링,365
김동원,5
고려대학교,1
총장,1
허진규,6
일진,54
이해욱,14
박경,35
원하는,3
상,120
정승일,26
한국전력,59
오세철,47
물산,293
김승연,77
이용,48
배,84
메트로,4
신문,43
기획재정부,4
부처,4
일정,6
다음주,1
및,133
방산,82
이모저모,95
SKT,8
투명,2
안테나,2
RIS,2
개발,241
커버,3
리지,6
소모전,2
력,135
절감,10
기대,187
강달호,41
안전,74
수해,6
현장,62
점검,50
긴급,9
복구,8
실시,7
박정원,35
소식,50
텍,59
코스닥,22
상장,139
예비,11
심사,13
통과,63
이재현,1
골드,1
만,232
PIA,1
KB,10
리치,1
고객,13
대상,35
프리미어,1
써밋,18
료,41
이우현,34
OCI,69
超,1
철강,160
이끈,4
처,24
작주,1
소재,232
불지,1
피,16
누리,1
호랩,1
논란,17
독자,6
공감,5
科技,2
핫이슈,15
모비스,35
자율,30
주행,18
경쟁력,92
자신감,6
조성환,7
착착,28
윤창,3
운,10
채희봉,43
정재훈,17
수력,21
원자력,116
김연,1
시스템,124
옥,2
경석,1
기계,40
동현,13
등주,7
총론,3
스포츠맨,5
십,41
싹튼,2
정신,5
날개,37
를,111
달다,3
허세,32
칼텍스,139
최정우,112
네트워크,7
행정안전부,2
BU,10
거듭,22
나나,3
산업부,50
고용노동부,1
문화,5
체육관,1
광부,1
위드,4
코로나,121
역설,2
특수,77
집콕,1
늘면서,1
새집,1
상한,38
가,399
종합,289
체질개선,44
내는데,7
리더십,71
부재,7
시계,30
멈춰,7
박성철,14
한전,83
KDN,17
구자열,17
승부,154
결실,5
맺는,1
주력,46
제의,71
전성기,13
서막,3
지속가능성,24
화려한,13
부활,15
성공한,2
이차전지,81
반도체,130
고공,2
행진,6
LOUNGE,10
분식회계,1
동력,79
악화,15
되나,53
㈜,78
CC,10
손잡고,73
생,61
성형,3
AI,34
기반,107
디지털,47
ITS,3
파트너,120
나서,59
살아난다,13
상승세,37
뚜렷,17
신성,17
디벨로퍼,14
전성,25
스코프,3
최초,155
액화,195
준공,35
협동,5
시장,639
점유,17
율,17
세계,244
톱,31
주년,101
단독,79
獨,2
열사,41
렌,1
체스,1
판다,2
실탄,23
장전,10
꼽았다,2
벨세,2
수업,11
내부,2
지형도,7
가능성,20
장남,10
락,19
특별,30
넘어,94
일류,14
향,51
⑧,19
가스터빈,20
SMR,112
선봉,30
소형,18
원전,176
첨단,56
폐기,2
받은,13
산학,17
연,146
효율,23
터빈,20
경남,20
놀라운,2
변신,95
차,77
합격,4
점,15
韓,158
인니,22
인프라,171
노린다,93
오션,148
인터내셔널,36
해상,78
풍력,95
바,4
닷,4
ENG,62
미국,76
사가,17
회생,2
절차,3
의약품,4
용기,15
위기,215
내막,3
구조,40
앞세워,48
꽃길,5
닦는다,5
박지원,15
순항,57
성장,333
다각,89
열매,5
익어,2
간다,36
베트남,41
찾는,50
재계,266
하노이,3
大,10
센터,46
신설,38
엔,85
솔,17
손,230
잡았다,34
밥캣,12
그리고,9
파워,112
삼,124
남해,8
자연,7
설비,53
초기,13
이어,59
드라이브,111
건,87
르포,34
‧,203
수입,8
탈출,33
발전소,110
가보니,9
국산,85
점화,21
투데이,17
이끄는,25
흐름,19
탄,12
질주,14
문,72
홍성,4
모듈,11
바다,7
포트폴리오,85
담긴,5
절박,13
의지,43
자회사,50
중추,3
역할,28
주주,43
환원,19
가시,48
주가,118
평가,55
목,9
진원,4
캐피탈,7
남부,106
기관,27
혼소,10
실증,133
기웃,4
나래,2
암모니아,222
적,256
반등,34
약속,14
지킨,12
부채,2
비율,2
반토막,1
빛,6
보인다,16
본업,24
달았다,6
탄력,59
한수원,44
햇빛,1
든다,2
억,253
역량,69
발판,15
다진다,25
규모,134
해수담수화,6
계약,35
견인,41
달라진,5
찾았다,2
공격,46
행보,99
허용,46
원유,9
나르던,6
상사,54
尹,151
정부,231
출범,185
후,32
비중,38
뛰어든,23
해법,12
새로운,60
시그널,7
BDA,1
스,72
딜,1
마다,1
해결사,2
돋보기,9
사명,28
변경,13
정영,2
COO,2
임,49
승격,15
분야,140
확보,213
가치,78
사슬,9
지금,79
주주총회,1
바꾼,10
바꾸는,20
출발,21
飛上,4
발,83
빠른,3
빌이,1
냈다,1
테스,5
나,48
好好,1
창사,3
기치,1
드높여,1
트레이딩,14
태양광,120
다변,17
어디,83
조석,97
렉,100
트릭,104
소풍,4
의료기기,8
번째,12
도전,99
재생에너지,112
폐지,5
분분,2
소형모듈원전,7
넘자,6
언제,13
아파트,13
짓,6
주택,124
대신,28
떼고,11
꿈꾼다,29
브랜드,37
액,14
절반,5
벤,18
러시,25
영역,22
일자리,49
창,113
출,94
발표,104
마감,35
지운,2
잇따른,4
왜,53
팀,50
칼럼,10
잇단,44
실패,27
할,97
때,11
년생,9
페이스,1
등장,10
빨라진,8
승계,33
미래에셋,1
대출,6
계약서,1
위조,1
직원,11
해고,1
검찰,1
수사,2
의뢰,10
프로,18
머티리얼즈,7
공모,11
하단,1
만원,11
확정,16
데,106
일리,90
IT,21
단신,40
ICT,15
작업,37
안전교육,2
공시,46
하이닉스,24
DRAM,1
흑자,18
NAND,1
바닥,3
근접,1
이주,77
주식시장,97
오미크론,25
확산,67
강세,176
폭락,25
NFT,80
지속,116
양자컴퓨터,10
활용,141
양자,20
상태,13
발견,27
메타,63
버스,126
되는,57
애플,28
카,34
신규,88
보여,27
