index,title,url,press,date,keyword,content,Scraped_date
7,"롯데에너지머티리얼즈, 포스코인터 동박원료 60만톤 확보",https://www.hankyung.com/article/2023110146226,한국경제,2주 전,롯데에너지머티리얼즈,"롯데에너지머티리얼즈가 향후 10년간 동박원료 60만톤을 확보했다고 1일 밝혔다. 이날 서울 잠실 롯데월드타워 113층 EBC(Executive Briefing Center)에서 포스코인터내셔널과 동박원료 공급 확대를 위한 업무협약(MOU)를 체결했다고 밝혔다. 체결식에는 김교현 롯데케미칼 부회장, 김연섭 ...",2023-11-21
8,"포스코인터, 롯데에너지머티리얼즈에 동박 원료 공급…6조 규모",https://www.news1.kr/articles/5217050,뉴스1,2주 전,롯데에너지머티리얼즈,포스코인터내셔널(047050)은 롯데에너지머티리얼즈(020150)와 동박원료 공급 확대를 위한 업무협약(MOU)을 체결했다고 1일 밝혔다. 양사는 파트너십을 강화하기 위해 임원과 실무진으로 구성된 공동협의체를 구성했다. 포스코인터내셔널은 협약에 따라 오는 2033년까지 하이엔드 동박 생산을 위한 원료를 총...,2023-11-21
9,"[단독] '3연임' 앞둔 김교현 롯데케미칼 부회장, 스페인 동박 프로젝트 현장 점검",https://www.theguru.co.kr/news/article.html?no=62819,더구루,1일 전,롯데에너지머티리얼즈,"롯데에너지머티리얼즈 동박공장 현장 점검 카탈루냐주 몬로이치시 시장·시의원 회동 ""건설 현황 만족…투자 계획대로 진행될 것"" [더구루=정예린 기자] 김교현 롯데케미칼 부회장이 롯데에너지머티리얼즈의 스페인 동박 공장 건설 프로젝트 현장 점검에 나섰다. 현지 정부 고위 관계자들과 회동, 협력...",2023-11-21
10,"[컨콜] 롯데에너지머티리얼즈 ""향후 1.4조 차입 계획""",http://www.fnnews.com/news/202311071600444998,파이낸셜뉴스,2주 전,롯데에너지머티리얼즈,"롯데에너지머티리얼즈는 7일 열린 올해 3·4분기 실적 컨퍼런스콜에서 ""현재 증설 관련 필요한 금액은 총 3조4000억원 정도""라며 ""이는 내부 유보 현금, 영업현금흐름, 차입 등을 통해서 조달할 것""이라며 ""향후 적절한 부채 비율을 유지하면서 총 1조4000억원 정도를 차입할 계획""이라고 말했다. 그러면서...",2023-11-21
11,"롯데에너지머티리얼즈, 하이엔드 동박 성장 '원년'",https://dealsite.co.kr/articles/112608,딜사이트,2주 전,롯데에너지머티리얼즈,3Q 매출 2177억 '역대 최대'…내년 동박 생산능력 8만톤 롯데에너지머티리얼즈(LEM)가 3분기 동박 판매량 확대로 분기 최대 매출을 달성했다. 다만 중국의 저가물량 공세로 인해 내실 다지기에는 실패했다. 이에 롯데에너지머티리얼즈는 2024년을 하이엔드 동박 사업의 성장 원년으로 삼고 신규 고객사 확보에...,2023-11-21
12,"포스코인터, 롯데에너지머티리얼즈에 '6조 규모' 동박 원료 공급",http://news.mt.co.kr/mtview.php?no=2023110108315439361,머니투데이,2주 전,롯데에너지머티리얼즈,"포스코인터내셔널이 롯데에너지머티리얼즈에 6조원 규모에 달하는 동박 원료를 공급한다. 포스코인터내셔널은 1일 롯데 시그니엘호텔에서 롯데에너지머티리얼즈와 '동박원료 공급 확대를 위한 업무협약(MOU)'을 체결했다. 이날 협약식에는 정탁 포스코인터내셔널 부회장, 김병휘 포스코인터내셔널...",2023-11-21
13,[롯데그룹 주간동향] 한주간 시총 6200억원 증가...롯데케미칼 강세,https://www.pinpointnews.co.kr/news/articleView.html?idxno=227833,핀포인트뉴스,2일 전,롯데에너지머티리얼즈,"롯데케미칼 뒤를 이어 롯데리츠, 롯데에너지머티리얼즈 종목도 각각 3.27%, 2.86%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 롯데칠성 종목은 -2.03%를 기록해 롯데그룹 계열사 중 가장 부진한 흐름을 나타냈다. 지난 17일 롯데그룹 전체 계열사의 주간 기준 등락률은 다음과 같다....",2023-11-21
14,"[산업 이슈] 롯데에너지머티리얼즈, 2023년 3분기 잠정실적 발표 外",http://www.lawissue.co.kr/view.php?ud=202311071854176588204ead0791_12,로이슈,2주 전,롯데에너지머티리얼즈,"롯데에너지머티리얼즈(대표 김연섭)가 전기차 시장의 수요 둔화 속에도 차별화된 제품 기술력과 장기공급계약을 바탕으로 2023년 3분기 잠정실적(연결기준)은 매출액 2,177억원, 영업이익 30억원을 기록했다고 7일 밝혔다. 는 동박 판매량이 견조하게 증가하면서 3분기 매출액도 2분기 1...",2023-11-21
15,"[컨콜] 롯데에너지머티리얼즈 ""K배터리, 하이엔드 동박 사용 검토중""",http://www.fnnews.com/news/202311071640380859,파이낸셜뉴스,2주 전,롯데에너지머티리얼즈,"롯데에너지머티리얼즈는 7일 열린 올해 3·4분기 실적 컨퍼런스콜에서 ""현재 국내 배터리사들이 하이엔드 동박 사용을 적극 검토하고 있다""며 ""2025년 정도면 본격적으로 채택할 것""이라고 말했다. 그러면서 ""유럽 쪽은 내년부터 본격적으로 하이엔드 동박 판매량이 늘어날 것""이라고 내다봤다.",2023-11-21
16,[더벨][롯데 이차전지 해부]간판 바꾸고 경쟁력 높인 롯데에너지머티리얼즈,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311091658265800103559,더벨,7일 전,롯데에너지머티리얼즈,당시 인수된 롯데에너지머티리얼즈의 동박 시장 점유율은 지난해 기준 13% 로 전세계 시장 4위 정도다. 롯데에너지머티리얼즈 입장에서도 취할 수 있는 이득이 적지 않았을 것으로 보인다. 롯데그룹은 재계 10위권 대기업인 데다가 글로벌 시장을 무대로 다양한 방면의 사업을 펼쳐왔다. 브랜드의 이미지 및...,2023-11-21
17,"롯데에너지머티리얼즈 '실적 혹한기'에도 투자 지속, 김연섭 성장동력 육성",https://www.businesspost.co.kr/BP?command=article_view&num=332766,비즈니스포스트,1주 전,롯데에너지머티리얼즈,김연섭 롯데에너지머티리얼즈 대표이사가 동박 업황 악화로 실적 혹한기를 지나고 있다. 그럼에도 김 대표는 주력사업인 동박의 생산능력을 확대하기 위한 글로벌 증설 투자와 2차전지 소재 다변화를 준비하고 있다. 롯데에너지머티리얼즈의 두둑한 현금과 안정적 재무구조는 김 대표의 구상을 뒷받침할...,2023-11-21
18,"[컨콜] 롯데에너지머티리얼즈 ""내년까지 두자릿수 영업 마진 기대 어려워""",http://www.fnnews.com/news/202311071621565978,파이낸셜뉴스,2주 전,롯데에너지머티리얼즈,"롯데에너지머티리얼즈는 7일 열린 올해 3·4분기 실적 컨퍼런스콜에서""내년까지는 두자릿수 이상 영업마진율을 기대하기 어려울 거 같다""며 ""유럽 및 북미 소재 시장의 동박 수급이 올해까지는 수요보다 공급이 많은 상태""라고 말했다. 그러면서 ""2025년부터는 동박 수요가 공급을 넘어설 것으로 예상한다""고...",2023-11-21
19,"롯데에너지머티리얼즈·현대모비스, 스페인서 대규모 정부 보조금 확보",https://www.theguru.co.kr/news/article.html?no=62549,더구루,1주 전,롯데에너지머티리얼즈,4억 유로 투자에 4290만 유로 보조금 승인 전기차 산업 육성 위한 '페르테' 지원 정책 일환 현대모비스·스텔란티스 등도 수혜 기업 선정 [더구루=정예린 기자] 롯데에너지머티리얼즈(옛 일진머티리얼즈)가 스페인 정부로부터 대규모 보조금을 확보했다. 당국의 전폭적인 지원 아래 공장 건설...,2023-11-21
0,"[더벨][Peer Match Up/롯데웰푸드 vs 오리온]같은 사법리스크, 활발한 신동빈 회장·은둔한 담철곤 회장",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311101027374080103866,더벨,15시간 전,롯데알미늄,"롯데알미늄과 일본 롯데홀딩스 등을 더해 특수관계인 지분은 70.2%에 달한다. 오리온 최대주주는 반기 말 기준 오리온홀딩스로 지분율은 37.4%다. 담 회장과 배우자 이화경 부회장, 장남 담서원 경영지원 상무 보유분을 더한 특수관계인 지분은 43.8%다. 신 회장과 담 회장은 모두 법적 고초를 겪었으나 그 이후의...",2023-11-21
1,"美 상무부, 韓 알루미늄 포일에 관세 부과",http://www.snmnews.com/news/articleView.html?idxno=526289,철강금속신문,7시간 전,롯데알미늄,"이에 따라 해당 업체인 동일알루미늄, 롯데알미늄, 동원시스템즈, 한국알루미늄, 삼아알미늄, 일진알텍 총 6개 사가 공동 대응했다. 미 상무부가 초반에 어떤 품목과 무역 행위에 대해 조사할지 뚜렷하게 밝히지 않아 국내 업체들은 미 상무부의 의도를 파악하기 위해 공동 로펌 선임 등을 진행한 바 있다. 한편...",2023-11-21
2,"[더벨][Peer Match Up/롯데웰푸드 vs 오리온]코리아세븐 내부거래 롯데, 제주용암수 대여금 지원 오리온",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311140951581280103360,더벨,1일 전,롯데알미늄,"롯데지주뿐만 아니라 롯데지알에스·코리아세븐·롯데글로벌로지스·롯데칠성음료·롯데쇼핑·롯데정보통신·롯데알미늄 등 여러 계열사와 활발하게 거래했다. 내부거래 중 편의점 사업을 하는 코리아세븐과 프랜차이즈 외식 사업을 하는 롯데지알에스 매출 비중이 크다. 각각 2008억원, 1096억원이다....",2023-11-21
3,"롯데 계열사, 사모채·기업어음 지속 발행",http://www.fnnews.com/news/202311131822159516,파이낸셜뉴스,1주 전,롯데알미늄,롯데알미늄은 이달 7일 300억원 규모의 2년 만기 기업어음(CP)을 연 5.5%에 발행했다. 롯데알미늄의 단기 신용등급은 A2+ 수준이다. 롯데글로벌로지스는 지난달 11일 2년물 CP 300억원어치를 찍었다. 롯데글로벌로지스는 A급이라는 다소 불안한 신용등급을 보유하고 있다. CP는 통상 1년 미만으로 발행하는...,2023-11-21
4,"롯데오토리스, 加 데이터메트렉스 AI 기반 솔루션 도입 완료",https://www.theguru.co.kr/news/article.html?no=62755,더구루,4일 전,롯데알미늄,"지금까지 데이터메트렉스의 AI솔루션을 공급받은 업체는 롯데정보통신, 롯데하이마트, 롯데글로벌로지스, 롯데알미늄, 롯데렌탈, 롯데카드 등이 있다. 데이터메트렉스는 이번 성공적인 납품은 고객의 기대치를 충족하거나 뛰어넘는 회사의 역량을 입증하는 증거라고 소개했다. 데이터메트렉스 마샬 건터...",2023-11-21
5,"롯데그룹, 장기CP 발행 '활발'…조달 창구 다각화",https://www.hankyung.com/article/202311081764r,한국경제,1주 전,롯데알미늄,8일 투자은행(IB) 업계에 따르면 롯데알미늄은 지난 7일 300억원어치 2년 만기 장기 CP를 발행했다. 롯데그룹 계열사인 롯데알미늄은 양극재용 알미늄박 가공회사다. 롯데알미늄이 발행한 기업어음의 신용등급은 A2+ 수준이다. 은 2013년 이후 공모 시장을 찾지 않고 사모 회사채 및 장기 CP로 자금을...,2023-11-21
6,"[더벨][롯데 이차전지 해부]신격호의 한국 사업 전초기지 롯데알미늄, 신사업 선봉장으로",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311101628005440109081,더벨,6일 전,롯데알미늄,롯데알미늄은 롯데그룹에 있어서 의미가 큰 계열사다. 일본에서 사업을 펼쳐오던 고(故) 신격호 롯데그룹 명예회장이 한국 사업을 시작하기 위해 세운 첫 회사다. 1965년 한국에 대한 일본기업의 투자가 가능해지자 이듬해인 1966년 곧장 우리나라에 '동방아루미공업'이라는 기업을 설립했다. 이 회사가...,2023-11-21
7,"[더벨][롯데 이차전지 해부]시가총액 50조 목표, '밸류업' 가능할까",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311131632469480102756,더벨,5일 전,롯데알미늄,"롯데에너지머티리얼즈 인수를 통해 음극재 제조에 필요한 동박 사업에, 알루미늄박 제조 업체인 롯데알미늄이 양극재에 투입하는 양극박 생산에 나섰다. 양극재 및 음극재를 제외한 나머지 핵심 소재인 전해액·분리막은 롯데케미칼의 영역이다. 롯데케미칼은 전해액에 들어가는 유기용매와 분리막용...",2023-11-21
