,cnt,description,link,org_link,pDate,title
36,37,"KT는 기업전용 LLM 사업화에 ‘업스테이지’, Math-GPT를 비롯한 교육 영역에선 ‘콴다’와 ‘<b>에누마</b>’, 기업용 업무 개인비서 영역에는 ‘비아이매트릭스’ 등 다양한 AI 스타트업들과 ‘믿음’을 활용한 AI... ",https://byline.network/?p=9004111222518453,https://byline.network/?p=9004111222518453,2023-10-31 18:10:00,초거대 AI를 위한 KT의 세 가지 전략
37,38,"최 본부장은 “업스테이지(LLM 사업화), 콴다·<b>에누마</b>(교육), 비아이매트릭스(기업용 비서) 등 다양한 AI 스타트업과 손잡고 국내는 물론 글로벌 시장을 공략할 AI 사업 모델을 개발할 계획”이라고 말했다. KT가 B2B에... ",https://www.joongang.co.kr/article/25203722,https://www.joongang.co.kr/article/25203722,2023-10-31 18:10:00,"[팩플] KT, 초거대 AI ‘믿음’ 출시…“3년 내 매출 1000억원 목표”"
38,39,"KT는 기업전용 LLM 사업화에 업스테이지, Math-GPT를 비롯한 교육 영역에선 콴다와 <b>에누마</b>, 기업용 업무 개인비서 영역에는 비아이매트릭스 등 다양한 AI 스타트업들과 '믿음'을 활용한 사업 모델을 공동으로 개발하고... ",http://www.newsbrite.net/news/articleView.html?idxno=177671,http://www.newsbrite.net/news/articleView.html?idxno=177671,2023-10-31 18:04:00,"KT, 토종 초거대AI '믿음' 공개... 기술 문호 열고 대중화 나선다"
39,40,"즉 스타트업 업스테이지와 기업전용 LLM 사업화를, 콴다와 <b>에누마</b>와 교육용 LLM을, 비아이매트릭스와 기업용 업무 개인비서 영역을 넓히겠다는 계획이다. 특히 허깅페이스 리더보드에서 세계 1위를 차지한... ",https://www.aitimes.com/news/articleView.html?idxno=154785,https://www.aitimes.com/news/articleView.html?idxno=154785,2023-10-31 18:02:00,"KT, LLM '믿음' 공개...B2B 본격 시동"
40,41,"금융권 등 사내 프라이빗LLM 사업에 업스테이지, 교육분야 콴다·<b>에누마</b>, 분석·개인화 영역의 비아이매트릭스 등과 협업한다. 특히 최근 태국 자스민그룹과 '믿음' 기반 태국어 LLM 구축 및 동남아 공동사업 협약을... ",https://www.dt.co.kr/contents.html?article_no=2023103102109931081003&ref=naver,https://www.dt.co.kr/contents.html?article_no=2023103102109931081003&ref=naver,2023-10-31 17:53:00,"KT, 토종 초거대 AI `믿음` 발표"
41,42,"업스테이지(기업 전용 LLM), 콴다·<b>에누마</b>(교육), 비아이매트릭스(기업용 업무 비서) 등과 사업모델을 공동으로 개발하면서다. 앞서 지난 22일에는 동남아 시장 진출을 위해 태국 자스민그룹과 함께 태국어 LLM... ",https://www.bizhankook.com/article/26510,https://www.bizhankook.com/article/26510,2023-10-31 17:36:00,"'초거대 AI 전쟁' 뛰어든 이동통신 3사, 빅테크 넘어설 승자는 누구?"
42,43,"KT는 기업전용 LLM 사업화에 ‘업스테이지’, 매스-GPT를 비롯한 교육 영역에선 ‘콴다’와 ‘<b>에누마</b>’, 기업용 업무 개인비서 영역에는 ‘비아이매트릭스’ 등 다양한 AI 스타트업들과 ‘믿음’을 활용한 AI... ",https://www.ceoscoredaily.com/page/view/2023103116253917006,https://www.ceoscoredaily.com/page/view/2023103116253917006,2023-10-31 17:32:00,"KT, 초거대 AI ‘믿음’ 출격…제조·금융·교육 등 B2B ‘정조준’"
43,44,"KT는 기업전용 LLM 사업화에 '업스테이지', Math-GPT를 비롯한 교육 영역에선 '콴다'와 '<b>에누마</b>', 기업용 업무 개인비서 영역에는 '비아이매트릭스' 등 다양한 AI 스타트업들과 '믿음'을 활용한 AI 사업모델을 공동으로... ",https://www.delighti.co.kr/news/articleView.html?idxno=70301,https://www.delighti.co.kr/news/articleView.html?idxno=70301,2023-10-31 17:20:00,"KT 초거대 AI '믿음', 기업들에게 제공…2026년 매출 1천억 달성"
44,45,◆ AI 스타트업과 사업모델 공동 개발···&quot;국내·글로벌 시장 공략&quot; KT는 △기업전용 LLM 사업화에 '업스테이지' △Math-GPT를 비롯한 교육 영역에선 '콴다'와 '<b>에누마</b>' △기업용 업무 개인비서 영역에는... ,http://www.seoulfn.com/news/articleView.html?idxno=499413,http://www.seoulfn.com/news/articleView.html?idxno=499413,2023-10-31 17:13:00,"KT, 초거대 AI '믿음' 출시···&quot;3년내 1000억원 매출 목표&quot;"
45,46,"‘<b>에누마</b>’는 기업용 업무 개인비서 영역에 협조하고 있다. 배순민소장은 &quot;기업들과 LLM 생태계를 확장해 나갈 것“이라며 ”절대 혼자서는 빠르게 성장할 수 없고, 기업들과 함께해야 성장할 수 있다&quot;고 말했다.... ",http://digitalchosun.dizzo.com/site/data/html_dir/2023/10/31/2023103180250.html,http://digitalchosun.dizzo.com/site/data/html_dir/2023/10/31/2023103180250.html,2023-10-31 17:08:00,"KT 초거대 AI '믿음’, B2B 대상 AI 사업화 지원 집중”"
46,47,"KT는 기업전용 LLM 사업화에 '업스테이지', Math-GPT를 비롯한 교육 영역에선 '콴다'와 '<b>에누마</b>', 기업용 업무 개인비서 영역에는 '비아이매트릭스' 등 다양한 AI 스타트업들과 '믿음'을 활용한 AI 사업모델을 공동으로... ",http://www.newspost.kr/news/articleView.html?idxno=112173,http://www.newspost.kr/news/articleView.html?idxno=112173,2023-10-31 17:08:00,"거침없는 KT, 기자들 모아놓고 &quot;초거대AI로 기사 작성&quot;"
47,48,"KT는 기업전용 LLM 사업화에 ‘업스테이지’, Math-GPT를 비롯한 교육 영역에선 ‘콴다’와 ‘<b>에누마</b>’, 기업용 업무 개인비서 영역에는 ‘비아이매트릭스’ 등 다양한... ",http://www.breaknews.com/995541,http://www.breaknews.com/995541,2023-10-31 17:06:00,"KT, 초거대 AI ‘믿음’ 개방..AI B2B 사업 본격화"
48,49,"특히 글로벌, 제조, 금융, 공공, 교육을 초거대 AI 사업을 확장할 5대 영역으로 규정하고, 업스테이지, 콴다, <b>에누마</b>, 비아이매트릭스 등과 협업을 이어간다. 회사는 믿음 출시 이전부터 금융권, 지자체, 기업설루션 등... ",http://www.goodkyung.com/news/articleView.html?idxno=220348,http://www.goodkyung.com/news/articleView.html?idxno=220348,2023-10-31 17:02:00,"KT, 초거대 AI '믿음' 공개...&quot;B2B에 집중...디지털 전환 주도할 것&quot;"
49,50,"KT는 기업전용 LLM 사업화에 ‘업스테이지’, Math-GPT를 비롯한 교육 영역에선 ‘콴다’와 ‘<b>에누마</b>’, 기업용 업무 개인비서 영역에는 ‘비아이매트릭스’ 등 다양한 AI 스타트업들과 ‘믿음’을 활용한 AI... ",http://www.betanews.net:8080/article/1450417.html,http://www.betanews.net:8080/article/1450417.html,2023-10-31 16:54:00,"KT, 기업고객을 위한 초거대 AI 사업 본격화… ‘믿음’ 출시"
50,51,"교육 영역에서는 콴다, <b>에누마</b>와 기업용 업무 개인비서 영역에는 비아이매트릭스 등 다양한 AI 스타트업들과 믿음을 활용한 AI 사업 모델을 공동 개발해 서비스를 제공한다.목표는 3년 뒤 프라이빗 LLM 시장에서 연... ",http://www.metroseoul.co.kr/article/20231031500822,http://www.metroseoul.co.kr/article/20231031500822,2023-10-31 16:54:00,"KT, 초거대 AI ‘믿음’ 공개…1조달러 기업시장 정조준"
51,52,"기업전용 LLM 사업화에 업스테이지, Math-GPT를 비롯한 교육 영역에선 콴다와 <b>에누마</b>, 기업용 업무 개인비서 영역에는 비아이매트릭스 등 다양한 AI 스타트업들과 믿음을 활용한 AI 사업모델을 공동으로 개발하고, 국내... ",http://www.newstomato.com/ReadNews.aspx?no=1206621&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1206621&inflow=N,2023-10-31 16:52:00,"&quot;챗GPT처럼 개방&quot;…KT, 초거대 AI '믿음' 출시"
52,53,"KT는 기업전용 LLM 사업화에 '업스테이지', 교육 영역에선 '콴다'와 '<b>에누마</b>', 기업용 업무 개인비서는 '비아이매트릭스' 등 다양한 AI 스타트업들과 믿음을 활용한 AI 사업모델을 공동으로 개발하고 국내 및 글로벌... ",http://www.sisaweek.com/news/articleView.html?idxno=209178,http://www.sisaweek.com/news/articleView.html?idxno=209178,2023-10-31 16:46:00,"KT, AI '믿음' 공개로 B2B 사업 전략 확대"
