,cnt,description,link,org_link,pDate,title
184,185,"투자에는 대교<b>인베스트먼트</b>와 SL<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b> 등 7개의 투자사가 참여했다. 지난해 8월 설립된 파네시아는 한국과학기술원(KAIST) 출신 석박사 인력들이 정명수 교수와 함께 설립한... ",http://news.mt.co.kr/mtview.php?no=2023092717471261726,http://news.mt.co.kr/mtview.php?no=2023092717471261726,2023-10-02 15:38:00,&quot;첫 투자유치에 160억원&quot;...돈맥경화에도 '여기'엔 뭉칫돈 몰렸다
185,186,"투자에는 <b>스마일게이트인베스트먼트</b>, LB<b>인베스트먼트</b>, 아주IB투자 등 국내 유수 벤처캐피탈들이 재무적투자자(FI)로 참여했다. 전략적투자자(SI)로는 반도체 소재 제조사 레이크머티리얼즈가 합류했다. 해당 투자자들은... ",https://www.etoday.co.kr/news/view/2287934,https://www.etoday.co.kr/news/view/2287934,2023-10-01 09:02:00,"[핫스타트업] 엔플로우, 차세대 이차전지 소재 개발 박차"
186,187,"이외에도 <b>스마일게이트인베스트먼트</b>, 한국투자파트너스, 스톤브릿지벤처스 등이 1000억원 이상 펀드 결성을 추진 중이다. 특히 <b>스마일게이트</b>인베스트는 연말을 목표로 2000억원 규모 펀드 조성을 꾀하고 있다.... ",https://www.mk.co.kr/article/10838361,https://www.mk.co.kr/article/10838361,2023-09-29 22:02:00,수천억원 돈 쌓는 VC...반등 기대감 커진 스타트업계
187,188,"브리즘은 특허를 비롯한 기술력을 인정 받아 서울대기술지주, 산업은행, 트랜스링크<b>인베스트먼트</b>, <b>스마일게이트인베스트먼트</b> 등으로부터 69억원 규모 시리즈A 투자 유치에 성공했다. 온라인 D2C(Direct to Consumer) 기반... ",https://www.etnews.com/20230929000011,https://www.etnews.com/20230929000011,2023-09-29 13:02:00,“혹한기 속 특허가 무기다”…특허 확보에 매진하는 스타트업들
188,189,IMM<b>인베스트먼트</b>와 <b>스마일게이트인베스트먼트</b> 등은 지난해 7월 구주거래를 통해 시프트업에 투자하며 기업가치를 1조원 이상으로 판단했다. 지난 2월 중소벤처기업부가 발표한 유니콘 기업에 포함됐다. 시프트업이... ,http://news.bizwatch.co.kr/article/mobile/2023/09/26/0054,http://news.bizwatch.co.kr/article/mobile/2023/09/26/0054,2023-09-29 12:01:00,"[IPO워치]몸푸는 시프트업, 사외이사도 선임"
189,190,"지난해 감사보고서 기준 공정자산은 <b>스마일게이트</b>홀딩스가 2조5666억원, <b>스마일게이트</b>엔터테인먼트 9787억원, <b>스마일게이트</b>RPG 8930억원, <b>스마일게이트인베스트먼트</b> 1092억원 <b>스마일게이트</b>자산운용 172억원 등으로... ",https://www.ceoscoredaily.com/page/view/2023092714011739034,https://www.ceoscoredaily.com/page/view/2023092714011739034,2023-09-27 14:04:00,"<b>스마일게이트</b>, 내년 공시 의무 대상 되나…‘로아’ 흥행에 공정자산↑"
190,191,정책만큼은 이념 대립을 넘어서야 한다'는 생각을 밝힌다. 변 전 장관은 2015년부터 5년간 <b>스마일게이트 인베스트먼트</b> 회장을 맡아 벤처투자 등 실물경제에도 몸담았었다. 2022년부터 윤석열 대통령 경제고문을 맡고 있다.,https://www.dt.co.kr/contents.html?article_no=2023092702102369660002&ref=naver,https://www.dt.co.kr/contents.html?article_no=2023092702102369660002&ref=naver,2023-09-26 19:00:00,[논설실의 서가] `노무현의 남자` 변양균의 경제정책論
191,192,<b>스마일게이트인베스트먼트</b>도 연말 결성을 목표로 설립 이래 최대 규모인 2200억원이 넘는 벤처펀드를 조성 중이다. 산업은행의 정책지원펀드 GP로 선정돼 600억원을 확보한 DSC<b>인베스트먼트</b>는 연내 2000억원을 목표로... ,http://news.mt.co.kr/mtview.php?no=2023092515394472830,http://news.mt.co.kr/mtview.php?no=2023092515394472830,2023-09-26 19:00:00,모태펀드 결성시한 무더기 연장?...투자자 못 구해 펀드 결성 난항
192,193,&quot;유니콘 기업에 대한 벤처캐피탈(VC) 업계의 투자가 확대되면서 이들에게도 어떻게 ESG(환경·사회·지배구조) 가이드라인을 적용할지 전세계적인 논의가 진행되고 있다.&quot; 구영권 <b>스마일게이트인베스트먼트</b>... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309221658378440102419,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309221658378440102419,2023-09-25 16:12:00,[더벨]&quot;스타트업 투자에도 ESG 가이드라인 필요&quot;
193,194,&quot; 22일 더벨이 서울 중구 더플라자 호텔에서 개최한 '2023 NEXT : Corporate Governance Conference' 3세션 주제 발표 이후 토론에서 구영권 <b>스마일게이트인베스트먼트</b> 바이오·헬스케어 부문대표는 벤처기업 투자 시리즈 진척에... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309221624313840109071,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202309221624313840109071,2023-09-25 16:12:00,"[더벨]&quot;원활한 ESG 투자, 객관적 KPI 정립 중요&quot;"
